class	json_data
Balanced Scale of Abadar	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+2", "Bypass ward", "—"], ["2nd", "+1", "+0", "+0", "+3", "Appraising eye", "+1 level of divine spellcasting class"], ["3rd", "+1", "+1", "+1", "+3", "Bottomless bag (type II), access the Vault (non-magical item)", "+1 level of divine spellcasting class"], ["4th", "+2", "+1", "+1", "+4", "Eloquent bargainer", "+1 level of divine spellcasting class"], ["5th", "+2", "+1", "+1", "+4", "Access the Vault (magic item)", "+1 level of divine spellcasting class"], ["6th", "+3", "+2", "+2", "+5", "Vault jump, bottomless bag (type III)", "+1 level of divine spellcasting class"]]
Battle Herald	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+1", "1st inspiring command (+1), improved leadership, voice of authority"], ["2nd", "+2", "+1", "+1", "+1", "Easy march"], ["3rd", "+3", "+2", "+1", "+2", "2nd inspiring command"], ["4th", "+4", "+2", "+1", "+2", "Inspiring command (+2), inspire greatness"], ["5th", "+5", "+3", "+2", "+3", "3rd inspiring command, banner"], ["6th", "+6", "+3", "+2", "+3", "Teamwork feat"], ["7th", "+7", "+4", "+2", "+4", "4th inspiring command (+3), demanding challenge"], ["8th", "+8", "+4", "+3", "+4", "Persistent commands"], ["9th", "+9", "+5", "+3", "+5", "5th inspiring command, inspire last stand"], ["10th", "+10", "+5", "+3", "+5", "Complex commands, inspiring command (+4)"]]
Bellflower Tiller	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Bellflower crop, swift sower +10 ft."], ["2nd", "+1", "+1", "+1", "+1", "Crop guardian, scarcrow +1, teamwork feat"], ["3rd", "+2", "+1", "+2", "+1", "Sneak attack +1d6"], ["4th", "+3", "+1", "+2", "+1", "Scarecrow +2"], ["5th", "+3", "+2", "+3", "+2", "1st favored barn"], ["6th", "+4", "+2", "+3", "+2", "Scarecrow +3, sneak attack +2d6, swift sower +20 ft., teamwork feat"], ["7th", "+5", "+2", "+4", "+2", "2nd favored barn"], ["8th", "+6", "+3", "+4", "+3", "Scarecrow +4"], ["9th", "+6", "+3", "+5", "+3", "3rd favored barn, sneak attack +3d6"], ["10th", "+7", "+3", "+5", "+3", "Scarecrow +5, teamwork feat"]]
Blackfire Adept	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Sacred summons", "—"], ["2nd", "+1", "+1", "+1", "+1", "Blackfire taint", "+1 level of spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "1st blackfire pact", "+1 level of spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Blackfire eruption", "+1 level of spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Breaching", "—"], ["6th", "+3", "+2", "+2", "+3", "2nd blackfire pact", "+1 level of spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Breaching legion", "+1 level of spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Accursed sympathy", "+1 level of spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "3rd blackfire pact", "—"], ["10th", "+5", "+3", "+3", "+5", "Riftward breaching", "+1 level of spellcasting class"]]
Bloatmage	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Blood pool, bloat (1/day, 1d4), hemophilia", "+1 level of existing arcane class"], ["2nd", "+1", "+1", "+1", "+1", "—", "+1 level of existing arcane class"], ["3rd", "+1", "+1", "+1", "+2", "Corpulence", "+1 level of existing arcane class"], ["4th", "+2", "+1", "+1", "+2", "Bloat (2/day, 2d4)", "+1 level of existing arcane class"], ["5th", "+2", "+2", "+2", "+3", "—", "+1 level of existing arcane class"], ["6th", "+3", "+2", "+2", "+3", "—", "+1 level of existing arcane class"], ["7th", "+3", "+2", "+2", "+4", "Corpulence", "+1 level of existing arcane class"], ["8th", "+4", "+3", "+3", "+4", "Bloat (3/day, 3d4)", "+1 level of existing arcane class"], ["9th", "+4", "+3", "+3", "+5", "—", "+1 level of existing arcane class"], ["10th", "+5", "+3", "+3", "+5", "Absorb bloodline", "+1 level of existing arcane class"]]
Brewkeeper	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+1", "+0", "Distilled spells, faithful drinker", "—"], ["2nd", "+1", "+1", "+1", "+1", "Brew reservoir, helpful homebrew", "+1 level of existing spellcasting class"], ["3rd", "+2", "+2", "+2", "+1", "Harmful homebrew, potion master", "+1 level of existing spellcasting class"], ["4th", "+3", "+2", "+2", "+1", "Helpful homebrew", "+1 level of existing spellcasting class"], ["5th", "+3", "+3", "+3", "+2", "Brew specialization", "+1 level of existing spellcasting class"], ["6th", "+4", "+3", "+3", "+2", "Helpful homebrew, harmful homebrew", "+1 level of existing spellcasting class"], ["7th", "+5", "+4", "+4", "+2", "Quick brewing", "+1 level of existing spellcasting class"], ["8th", "+6", "+4", "+4", "+3", "Helpful homebrew", "+1 level of existing spellcasting class"], ["9th", "+6", "+5", "+5", "+3", "Harmful homebrew", "+1 level of existing spellcasting class"], ["10th", "+7", "+5", "+5", "+3", "Helpful homebrew, true brewkeeper", "+1 level of existing spellcasting class"]]
Brightness Seeker	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+2", "+0", "+2", "Discover omen, favored pilgrim"], ["2nd", "+1", "+3", "+0", "+3", "Channel past incarnation, tranquility"], ["3rd", "+2", "+3", "+1", "+3", "Common ground, wild shape 1/day"], ["4th", "+3", "+4", "+1", "+4", "One with nature, tranquility aura"], ["5th", "+3", "+4", "+1", "+4", "Rebirth, wild shape 2/day"]]
Brother of the Seal	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+1", "+1", "+1", "Unarmed combat, water splitting stone"], ["2nd", "+1", "+1", "+1", "+1", "Gatekeeper, trapfinding"], ["3rd", "+2", "+2", "+2", "+2", "Runefinding"], ["4th", "+3", "+2", "+2", "+2", "Awesome Blow"], ["5th", "+3", "+3", "+3", "+3", "Unsealing"], ["6th", "+4", "+3", "+3", "+3", "Domino strike"], ["7th", "+5", "+4", "+4", "+4", "Hands of stone"], ["8th", "+6", "+4", "+4", "+4", "Rapid slam"], ["9th", "+6", "+5", "+5", "+5", "Cascading strike"], ["10th", "+7", "+5", "+5", "+5", "Unraveling"]]
Champion of Irori	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+1", "+1", "Detect chaos, martial artist, smite chaos"], ["2nd", "+2", "+1", "+1", "+1", "Ki pool, pursuit of knowledge"], ["3rd", "+3", "+2", "+2", "+2", "Sweeping smite (one target)"], ["4th", "+4", "+2", "+2", "+2", "Valiant stand"], ["5th", "+5", "+3", "+3", "+3", "Shield the weak"], ["6th", "+6", "+3", "+3", "+3", "Skill mastery, sweeping smite (multiple targets)"], ["7th", "+7", "+4", "+4", "+4", "Perfect opening"], ["8th", "+8", "+4", "+4", "+4", "One finger"], ["9th", "+9", "+5", "+5", "+5", "Perfect strike"], ["10th", "+10", "+5", "+5", "+5", "Whirlwind smite"]]
Chernasardo Warden	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+1", "Forest magic 1, unchained heart +2"], ["2nd", "+1", "+1", "+1", "+1", "Aligned class, bonus feat"], ["3rd", "+2", "+1", "+2", "+2", "Forest magic 2, guerrila tactics"], ["4th", "+3", "+1", "+2", "+2", "Aligned class, unchained heart +3"], ["5th", "+3", "+2", "+3", "+3", "Bonus feat, forest magic 3"], ["6th", "+4", "+2", "+3", "+3", "Advanced tactics, aligned class"], ["7th", "+5", "+2", "+4", "+4", "Forest magic 4, unchained heart +4"], ["8th", "+6", "+3", "+4", "+4", "Aligned class, bonus feat"], ["9th", "+6", "+3", "+5", "+5", "Forest magic 5, second tactic"], ["10th", "+7", "+3", "+5", "+5", "Aligned class, phantom strike"]]
Chevalier	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+2", "+0", "+2", "Aura of courage, recklessness"], ["2nd", "+2", "+3", "+0", "+3", "Controlled charge, stubborn mind"], ["3rd", "+3", "+3", "+1", "+3", "Poison immunity, smite evil"]]
Crimson Templar	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+1", "+0", "Fiendish studies +2 (move action), obedience, shield of wings (resist 5)"], ["2nd", "+2", "+1", "+1", "+1", "Fiendish studies (swift action), ruthlessness, sneak attack +1d6"], ["3rd", "+3", "+2", "+2", "+1", "Bonus feat, shield of wings (resist 10)"], ["4th", "+4", "+2", "+2", "+1", "Divine boon 1, heavenly fire"], ["5th", "+5", "+3", "+3", "+2", "Fiendish studies +4, sneak attack +2d6"], ["6th", "+6", "+3", "+3", "+2", "Bonus feat, shield of wings (resist 30)"], ["7th", "+7", "+4", "+4", "+2", "Divine boon 2, immolate"], ["8th", "+8", "+4", "+4", "+3", "Sneak attack +3d6"], ["9th", "+9", "+5", "+5", "+3", "Bonus feat, shield of wings (immunity)"], ["10th", "+10", "+5", "+5", "+3", "Divine boon 3, fiendish studies +6"]]
Cyphermage	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Cypher lore", "+1 level of arcane spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Cypher lore", "+1 level of arcane spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Cypher lore", "+1 level of arcane spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Cypher lore", "+1 level of arcane spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Cypher lore", "+1 level of arcane spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Cypher lore", "+1 level of arcane spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Cypher lore", "+1 level of arcane spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Cypher lore", "+1 level of arcane spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Cypher lore", "+1 level of arcane spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Cypherlord", "+1 level of arcane spellcasting class"]]
Daggermark Poisoner	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+1", "+0", "+0", "Master poisoner, poison resistance +2, quick poisoning"], ["2nd", "+1", "+1", "+1", "+1", "Toxic apothecary, toxic trick"], ["3rd", "+2", "+2", "+1", "+1", "Toxic manufactory, trapster +1"], ["4th", "+3", "+2", "+1", "+1", "Poison resistance +4, toxic trick"], ["5th", "+3", "+3", "+2", "+2", "Sneak attack +1d6, treacherous toxin"], ["6th", "+4", "+3", "+2", "+2", "Swift poisoning, toxic trick, trapster +2"], ["7th", "+5", "+4", "+2", "+2", "Poison resistance +6"], ["8th", "+6", "+4", "+3", "+3", "Instantaneous toxicology, toxic trick"], ["9th", "+6", "+5", "+3", "+3", "Poison immunity, trapster +3"], ["10th", "+7", "+5", "+3", "+3", "Sneak attack +2d6, toxic trick"]]
Daivrat	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Elemental focus, genie-tongue", "—"], ["2nd", "+1", "+1", "+1", "+1", "Spell-fetch (3rd)", "+1 level of existing arcane spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Genie's friend (+2)", "+1 level of existing arcane spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Elemental attunement", "+1 level of existing arcane spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Spell-fetch (6th)", "+1 level of existing arcane spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Zhyen familiar", "+1 level of existing arcane spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Greater elemental focus", "+1 level of existing arcane spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Spell-fetch (8th)", "+1 level of existing arcane spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Genie's friend (+4)", "+1 level of existing arcane spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Genie-kin", "+1 level of existing arcane spellcasting class"]]
Darechaser	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+1", "+0", "Adrenaline rush +1, dare +1d6"], ["2nd", "+2", "+1", "+1", "+1", "Adrenaline deed"], ["3rd", "+3", "+2", "+2", "+1", "Adrenaline rush +2"], ["4th", "+4", "+2", "+2", "+1", "Adrenaline deed"], ["5th", "+5", "+3", "+3", "+2", "Adrenaline rush +3, dare +1d8"], ["6th", "+6", "+3", "+3", "+2", "Adrenaline deed"], ["7th", "+7", "+4", "+4", "+2", "Adrenaline rush +4"], ["8th", "+8", "+4", "+4", "+3", "Adrenaline deed"], ["9th", "+9", "+5", "+5", "+3", "Adrenaline rush +5"], ["10th", "+10", "+5", "+5", "+3", "Adrenaline deed, dare +1d10, record breaker"]]
Dawnflower Anchorite	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+1", "+1", "Solar invocation +1", "—"], ["2nd", "+1", "+1", "+1", "+1", "Credence", "+1 level of existing spellcasting class"], ["3rd", "+2", "+1", "+2", "+2", "Bask in radiance", "+1 level of existing spellcasting class"], ["4th", "+3", "+1", "+2", "+2", "credence", "+1 level of existing spellcasting class"], ["5th", "+3", "+2", "+3", "+3", "Solar invocation +2 (move action)", "+1 level of existing spellcasting class"], ["6th", "+4", "+2", "+3", "+3", "Credence", "+1 level of existing spellcasting class"], ["7th", "+5", "+2", "+4", "+4", "Sunbeam", "+1 level of existing spellcasting class"], ["8th", "+6", "+3", "+4", "+4", "Credence", "+1 level of existing spellcasting class"], ["9th", "+6", "+3", "+5", "+5", "Solar Invocation +3", "+1 level of existing spellcasting class"], ["10th", "+7", "+3", "+5", "+5", "Credence, Dawnflower invocation, solar invocation (swift action)", "+1 level of existing spellcasting class"]]
Dawnflower Dissident	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+1", "+1", "Divine deception, Eschew Materials", "+1 level of spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Secret caster", "+1 level of spellcasting class"], ["3rd", "+2", "+1", "+2", "+2", "Schismatic apostle", "+1 level of spellcasting class"], ["4th", "+3", "+1", "+2", "+2", "Burning blade (flaming)", "+1 level of spellcasting class"], ["5th", "+3", "+2", "+3", "+3", "—", "+1 level of spellcasting class"], ["6th", "+4", "+2", "+3", "+3", "Shift blame", "+1 level of spellcasting class"], ["7th", "+5", "+2", "+4", "+4", "—", "+1 level of spellcasting class"], ["8th", "+6", "+3", "+4", "+4", "Burning blade (flaming burst)", "+1 level of spellcasting class"], ["9th", "+6", "+3", "+5", "+5", "Morning light", "+1 level of spellcasting class"], ["10th", "+7", "+3", "+5", "+5", "Flight of the phoenix", "+1 level of spellcasting class"]]
Death Slayer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Channel energy 1d6, channel smite, gravegaze", "—"], ["2nd", "+1", "+1", "+1", "+1", "Bonus feat, favored enemy +2", "+1 level of existing class"], ["3rd", "+2", "+2", "+1", "+2", "Channel energy 2d6, swift smite", "+1 level of existing class"], ["4th", "+3", "+2", "+1", "+2", "Infuse sabre 1/day", "+1 level of existing class"], ["5th", "+3", "+3", "+2", "+3", "Bonus feat, channel energy 3d6", "+1 level of existing class"], ["6th", "+4", "+3", "+2", "+3", "Deadly conviction, favored enemy +4", "—"], ["7th", "+5", "+4", "+2", "+4", "Channel energy 4d6, infuse sabre 2/day", "+1 level of existing class"], ["8th", "+6", "+4", "+3", "+4", "Bonus feat, undead bane", "+1 level of existing class"], ["9th", "+6", "+5", "+3", "+5", "Channel energy 5d6", "+1 level of existing class"], ["10th", "+7", "+5", "+3", "+5", "Aura of life, infuse sabre 3/day", "+1 level of existing class"]]
Demoniac	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+0", "Damned, demonic mark, obedience", "—"], ["2nd", "+1", "+1", "+1", "+1", "Energumen +2", "+1 level of existing class"], ["3rd", "+2", "+2", "+1", "+1", "Demonic boon 1", "+1 level of existing class"], ["4th", "+3", "+2", "+1", "+1", "Summon demon 1", "+1 level of existing class"], ["5th", "+3", "+3", "+2", "+2", "Energumen +4 (resistance)", "+1 level of existing class"], ["6th", "+4", "+3", "+2", "+2", "Demonic boon 2", "+1 level of existing class"], ["7th", "+5", "+4", "+2", "+2", "Energumen +6 (immunities)", "+1 level of existing class"], ["8th", "+6", "+4", "+3", "+3", "Summon demon 2", "+1 level of existing class"], ["9th", "+6", "+5", "+3", "+3", "Demonic boon 3", "+1 level of existing class"], ["10th", "+7", "+5", "+3", "+3", "Demonic form", "+1 level of existing class"]]
Devoted Muse	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+0", "+1", "+0", "Artful defense, deeds, panache"], ["2nd", "+2", "+1", "+1", "+1", "Artistic flourish, circling strike, deadly strike, distracted, harmonious strike"], ["3rd", "+3", "+1", "+2", "+1", "Feinting feat"], ["4th", "+4", "+1", "+2", "+1", "Deeds (opportune parry and risposte), limitless art +1"], ["5th", "+5", "+2", "+3", "+2", "Confused, staggered"], ["6th", "+6", "+2", "+3", "+2", "Feinting feat, inspirational strike"], ["7th", "+7", "+2", "+4", "+2", "Limitless art +2"], ["8th", "+8", "+3", "+4", "+3", "Dazed"], ["9th", "+9", "+3", "+5", "+3", "Feinting feat"], ["10th", "+10", "+3", "+5", "+3", "Limitless art +3, masterful strike"]]
