name	source	hit_die	alignment	role	requirements	description	url
Balanced Scale of Abadar	Dark Markets - A Guide to Katapesh pg. 54	d6.				Balanced scales of Abadar fulfill a specialized role in Katapesh. In addition to utilizing their powers of mercantilism, balanced scales seek out lost, unclaimed, or wrongly seized wealth among the many tombs and ruins of the Katapesh desert. Balanced scales of Abadar develop unique powers that afford them the ability to enter dangerous areas where lost treasure can be restored to the light or hidden goods can be returned to their rightful owners. A balanced scale finds the most satisfaction in discovering long-lost treasures hidden in unmarked strongholds, owned by now nameless individuals of the past. A balanced scale can claim such wealth for her own and use it to further the strength of her church.<br>For more information about Abadar, see Pathfinder Chronicles: Gods and Magic and Pathfinder Adventure Path volume #8.Requirements<br>To qualify to become a balanced scale of Abadar, a character must fulfill all the following criteria.<br>Deity: Abadar<br>Skills: Appraise 4 ranks, Open Lock 4 ranks<br>Spellcasting: Ability to cast 3rdlevel divine spellsClass Skills<br>The Balanced Scale of Abadar's class skills are Appraise, Concentration, Craft, Diplomacy, Heal, Knowledge (dungeoneering), Knowledge (local), Knowledge (religion), Open Lock, Profession, Search, Spellcraft.<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Balanced%20Scale%20of%20Abadar
Battle Herald	Advanced Player's Guide pg. 260	d10.				In every army there are leaders who surpass the average cold-hearted mercenary, battle-scarred veteran, or wizened drill instructor, not so much in their skill at arms but in their ability to inspire and lead others. Battle heralds are just such captains—skilled warriors to be sure, but ones who have honed the art of leadership to a keen edge and keep it as ready as their sword as a means to victory. Battle heralds tap into reservoirs of courage, skill, bravery, and perseverance that those who serve with them never knew they had, and their allies often find themselves ascending the mount of triumph following the battle herald's glorious (if often tattered) banner.Requirements<br>To qualify to become a battle herald, a character must fulfill all the following criteria.<br>Base Attack Bonus: +4.<br>Special: Challenge and inspire courage class features.<br>Skills: Diplomacy 5 ranks, Intimidate 5 ranks, Perform (oratory) 5 ranks, Profession (soldier) 2 ranks.Class Skills<br>The Battle Herald's class skills are Bluff (Cha), Craft (Int), Diplomacy (Cha), Handle Animal (Cha), Heal (Wis), Intimidate (Cha), Knowledge (engineering) (Int), Knowledge (history) (Int), Knowledge (local) (Int), Knowledge (nobility) (Int), Perception (Wis), Profession (Wis), Ride (Dex), and Sense Motive (Wis).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Battle%20Herald
Bellflower Tiller	Adventurer's Guide pg. 40	d8.	Chaotic good.			Perhaps no group has done more to sow the seeds of freedom in devil-haunted Cheliax than the Bellflower Network, and no agents of that network do or risk more than its dedicated Bellflower tillers. Charged with freeing slaves from the infernal nation’s many plantations and escorting them to the safety of Andoran and Rahadoum, Bellflower tillers are a constant thorn in the side of House Thrune and its diabolical minions. These elite liberators practice their craft all across Cheliax, from the darkened streets of Egorian and Westcrown to the wilds of the Whisperwood. Bellflower tillers employ farming euphemisms to mask their activities from unfriendly ears— referring to their secret hideouts as “barns,” the slaves they escort as their “crops,” and the secret paths they take as “rows.” Excessive contact between Bellflower tillers is discouraged by the Bellflower Network’s leadership, lest they risk exposing the organization to the authorities. Despite this, they often meet in secret to discuss which routes are safest to take, how much to bribe certain officials, and what tactics for organizing groups of slaves work best, and so improve chances of evading capture.<br>Nearly all Bellflower tillers are halfling rogues, though some particularly zealous members have levels in both rogue and inquisitors and savvy members might have levels in both rogue and ranger. Vigilantes are also a natural fit as Bellflower tillers. Non-halflings are usually admitted only after proving their allegiance to the anti-slavery movement and their goodwill toward halflings, but once they join the cause, they are incredibly valuable to the organization for the simple fact that their race does not immediately raise suspicion in areas where the Bellflower Network is active.<br>A Bellflower tiller’s duty relies in part on her ability to establish a believable and viable cover identity. Many pose as traveling merchants or tinkerers—occupations that give them the freedom to get where they need to, when they need to—and have alibis for their presence on the road if confronted by Chelish patrols. Other Bellflower tillers join mercenary bands or adventuring groups, using their organizational and survival skills to help their companions in exchange for some extra muscle should a particular slave breakout proceed poorly.Requirements<br>To qualify to become a Bellflower tiller, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Bellflower%20Tiller
Blackfire Adept	Paths of Prestige pg. 12	d6.	Any non-good.			A loosely organized order of nihilistic alienists and demonologists, the Blackfire Adepts study the power of unmaking as it manifests throughout the multiverse. They focus their obsessive research on blackfire. This eldritch phenomenon burns away the fibers of reality wherever it touches, thinning the walls between planes—especially between the Material Plane and the dark and unholy pits of the evil Outer Planes. Some pursue blackfire for purely academic purposes, but most seek to harness and wield its energy to loose the destructive power of the multiverse upon all creation.<br>The Riftwardens diametrically oppose the Blackfire Adepts. While Adepts seek to harness the might of the evil Outer Planes for their own, constantly opening planar gateways in hopes of catching glimpses of the elusive blackfire, Riftwardens instead attempt to close these portals. Because Riftwardens hinder the efforts of Blackfire Adepts, the summoners take whatever opportunities come their way to sabotage or corrupt these hated rivals.Requirements<br>To qualify to become a Blackfire Adept, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Blackfire%20Adept
Bloatmage	City of Strangers pg. 60	d6.	Bloatmages have no particular alignment, but their single-minded focus on the goal of attaining greater magical ability (and the general public’s prurient abhorrence of their ritualistic self-mutilation) tends to make them at least partially neutral.	Bloatmages are consummate spellcasters, often operating as heavy artillery in battle, but their potential to run amok when strained can make them nearly as dangerous to their friends as to their enemies.		Hemotheurges—more commonly and derogatorily referred to as bloatmages—are arcanists who believe there’s literal truth to the old aphorism that “magic runs in the blood.” By magically overriding their bodies’ fail-safes and producing more blood than they need, bloatmages are able to greatly increase their magical abilities, but at the cost of becoming grotesque, bloated masses of engorged flesh. Even more significant than any cosmetic changes, the stresses on a bloatmage’s body can prove dangerous to both them and those around them, for if the cephalic pressure on a bloatmage’s brain becomes too great, she flies into a murderous rage before falling unconscious and quickly bleeding out. Such obvious drawbacks keep most from walking the path of the bloated ascetics, but the bloatmages dismiss those detractors who lack the courage to follow in their footsteps, noting that in the pursuit of power and self-perfection, all other concerns are secondary.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Bloatmage
Brewkeeper	Paths of the Righteous pg. 6	d8.	Neutral good or chaotic good.			Among the most ardent and celebrated members of Cayden Cailean’s devoted are his brewkeepers, members of the Drunken God’s faith who specialize in the creation of fine alcohol and magical concoctions.Requirements<br>To qualify to become a brewkeeper, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Brewkeeper
Brightness Seeker	Elves of Golarion pg. 28	d8.				Revered as seers, able to channel memories and even physical features of prior incarnations as people and animals, Brightness Seekers devote themselves to the pursuit of enlightenment. During their uniquely personal journeys, they learn how to interpret signs and portents that allow them to make uncannily accurate predications about possible actions for themselves and others. Over time, as they forge ever-deeper connections with their past lives and approach an ultimate state of oneness with the world around them, they develop the capacity to manifest the abilities and eventually the actual forms of many different animals. Eventually, Brightness Seekers even gain the power to shrug off death itself should it interfere with their quest for enlightenment, and their ability to reincarnate themselves with their memories intact offers them a chance to eventually reclaim their original form.Requirements<br>To qualify to become a Brightness Seeker, a character must fulfill the following criteria.<br>Feat: Iron Will<br>Race: Elf<br>Skills: Spot 4 ranks, Survival 4 ranks, Knowledge (nature) 4 ranks and Knowledge (religion) 8 ranks (or vice versa).Class Skills<br>The Brightness Seeker's class skills are Climb, Concentration, Craft, Diplomacy, Handle Animal, Heal, Hide, Knowledge (nature), Knowledge (religion), Listen, Profession, Spot, Survival, Swim.<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Brightness%20Seeker
Brother of the Seal	Paths of Prestige pg. 14	d8.	Any lawful.			In Kaer Maga, a city known for its secrets, one of the greatest mysteries is the massive eldritch seal hidden deep below Oriat. For centuries, this portal has been safeguarded by an order of monks known as the Brothers of the Seal, ensuring that none disturbed the mighty vault and unleashed what powers lay locked within. With the passage of time, however, the truth of what the seal hid was lost even to its guardians. As secret-keepers disappeared and records were lost, the Brothers of the Seal maintained their vigil but began to wonder what they guarded, and for whom, and realized that no one truly knew the answers anymore.<br>This realization and subsequent schism split the group into two factions. The Faithful believe they must keep the sacred trust of guardianship no matter who decreed it. The Scions, on the other hand, claim that promises to masters long gone need not be kept. Meanwhile, a marginalized third faction of the brotherhood has formed, composed of those who seek to unite their brethren once more.Requirements<br>To qualify to become a Brother of the Seal, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Brother%20of%20the%20Seal
Champion of Irori	Paths of Prestige pg. 16	d8.	Lawful good.			The little-known champions of Irori give their lives in service to the perfection and uplift of society, their ultimate goal to create a safe and orderly world within which each person can find and perfect her true purpose in service to the whole. In their ethos, only through the accumulated perfection of each individual can societal transformation truly occur. Though Irori’s core teachings apply equally to good, evil, and neutral individuals, champions of Irori focus on embodying and promulgating the virtues of hard work, discipline, and devotion to the causes of justice, truth, and the pursuit of perfection. It is only through this pursuit that individuals can realize true joy and liberate themselves from the cycles of reincarnation to serve the Master of Masters in the life beyond life.Requirements<br>To qualify to become a champion of Irori, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Champion%20of%20Irori
Chernasardo Warden	Pathfinder #116: Fangs of War pg. 68	d8.	Any nonevil and nonlawful.			Chernasardo warden is a title that few can reasonably hope to earn. Among the freedom fighters, wardens have proven themselves again and again, taking on enemies that threaten the fate of Nirmathas. With their unmatched martial prowess and tactical skills, Chernasardo wardens are masters of the forest. They specialize in neutralizing enemies without being seen, but they are not a threat to be taken lightly even in close-quarters combat.<br>This title is earned only by those who have overcome insurmountable odds and survived unimaginable danger. There are just a handful of wardens alive at any given time, as it is a position that places one in constant peril. Wardens set themselves apart by wearing crests or armor fashioned from trophies won in battle. Traditionally, these were made from the horns or hide of great beasts of the Fangwood, but in recent years, regalia of high-ranking Molthuni officials has become more common. Only the Nirmathi forest marshal commands more respect than a warden among the Chernasardo Rangers.Requirements<br>To qualify to become a Chernasardo warden, a character must fulfill all the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Chernasardo%20Warden
Chevalier	Pathfinder #14: Children of the Void pg. 62	d10.	Good. Most are neutral good or chaotic good, with a rare few lawful good.			Some heroes don’t believe in fancy rules or high creeds or big flowery speeches, they just want to kill evil things, spend time with friends, and swap great tales over a good meal and tasty drinks. Not as stuffy or restrictive as a fullfledged knighthood, in their hearts chevaliers are just good people who want to celebrate the good things in life and fight evil wherever it dares to tread.<br>Chevaliers welcome all like-minded folk regardless of religion, though most of them worship Cayden Cailean. Most are fighters, rogues, or barbarians, but sorcerers, clerics, and bards are not unheard of. Chevaliers often wear golden pins noting their patron liege or deity or the token of a lover or other for whom they fight. Membership is easily obtained by swearing an oath in the presence of another chevalier and invoking the name of who they fight for or the figure that embodies their desire to do good in the world. An adventurer-turned- innkeeper in a frontier town, a band of travelers looking for bandits, and a would-be dragonslayer might all be chevaliers. They mix lofty intentions, unusual combat techniques, and stubborn determination into a strangely effective combination.Requirements<br>To qualify to become a chevalier, a character must fulfill all of the following criteria:	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Chevalier
Crimson Templar	Paths of the Righteous pg. 8	d10.	Lawful good.			Even the most devout followers of good can recognize the need for ruthlessness when opposing true evil. The crimson templars of Ragathiel are taught that mercy is a virtue reserved for only those capable of accepting redemption. They must learn this lesson well, for they are trained to face the heartless legions of Hell. These women and men are Heaven’s assassins, and they tread a bloody path so the oaths of others remain untarnished. Their mission is a thankless one, as righteous allies often view them as just a step away from corruption.Requirements<br>To qualify to become a crimson templar, a character must fulfill all of following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Crimson%20Templar
Cyphermage	Adventurer's Guide pg. 57	d6.				Based in the pirate city of Riddleport, Cyphermages are students of ancient history and runic lore, with a particular focus on the monuments and magics of Thassilon. They are respected in some ways for their depth of knowledge about the history of the region, yet some people find them dangerously stubborn in their pursuit of secrets best left lost and in their borderline obsession with any scraps or fragments of rubble with markings that even remotely resemble runes. Like the legendary Cyphergate itself (an enormous rune-carved arch that spans the entrance to Riddleport’s harbor), much of the labor of the Cyphermages seems to others to be wasted on pondering and searching for hidden meanings and sublime significance that simply may not exist. Nonetheless, Cyphermages are dogged in their pursuit of knowledge, often secretive not only with outsiders but also with one another, as each strives to uncover a forgotten scrap of lore, unearth a choice bit of Thassilonian architecture, or present a triumphant dissertation to his Cyphermage peers or to academics half a world away.Requirements<br>To qualify to become a Cyphermage, a character must fulfill the following criteria.<br>Feats: Cypher Magic†, Scribe Scroll.<br>Languages: Know two languages associated with Thassilon or Varisia (such as the ancient language of Thassilonian, regional languages like Varisian or Shoanti, or ancient languages like Aklo, Draconic, or Giant).<br>Skills: Knowledge (arcana) 5 ranks, Knowledge (history) 5 ranks, Linguistics 5 ranks.<br>Spells: Able to cast arcane spells.Class Skills<br>The Cyphermage's class skills are Appraise (Int), Climb (Str), Disable Device (Dex), Fly (Dex), Knowledge (all) (Int), Linguistics (Int), Perception (Wis), Spellcraft (Int), Survival (Wis), and Use Magic Device (Cha).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Cyphermage
Daggermark Poisoner	Paths of Prestige pg. 18	d8.				Poison is a common weapon of cultures and nations across Golarion, but the craft reaches its acme in the city of Daggermark, the festering heart of the chaotic and war-torn River Kingdoms. Members of the Daggermark Poisoners’ Guild and aspiring hopefuls experiment with their craft constantly, creating hundreds of potent toxins either to sell or use for their own nefarious purposes.Requirements<br>To qualify to become a Daggermark poisoner, a character must fulfill all of the following criteria.<br>Skills: Craft (alchemy) 5 ranks, Craft (traps) 5 ranks, Heal 5 ranks, Sleight of Hand 5 ranks.<br>Special: Poison use class ability. The character must craft at least 1,000 gp worth of poisons and donate them to the Daggermark Poisoners’ Guild.Class Skills<br>The Daggermark Poisoner's class skills are Bluff (Cha), Disguise (Cha), Escape Artist (Dex), Heal (Wis), Sleight of Hand (Dex), and Stealth (Dex).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Daggermark%20Poisoner
