name	type	category	source	requirements	description	url
Black Powder Fortune	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 51		You have little to fear when<br>there’s a gun in your hand. As long as you are wielding<br>a firearm, you gain a +2 trait bonus on all saving throws<br>against curse, fear, and emotion effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Black%20Powder%20Fortune
Black Powder Interjection	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 51		Your confidence rises when<br>you foil spellcasting. Once per day, when you interrupt the casting of a spell with a firearm attack, you may<br>regain 1 grit point.	https://aonprd.com/TraitDisplay.aspx?ItemName=Black%20Powder%20Interjection
Blackjacket Weapon Flair	Basic (Combat)	Basic (Combat)	Weapon Master's Handbook pg. 4		You trained with the Blackjackets of Druma to make optimal use of magic weapons. Whenever you roll a natural 20 (the die shows a “20”) on a combat maneuver check with a magic weapon, you gain a +5 trait bonus on the check.	https://aonprd.com/TraitDisplay.aspx?ItemName=Blackjacket%20Weapon%20Flair
Blade of the Society	Basic (Combat)	Basic (Combat)	Shattered Star Player's Guide pg. 5	Rogue, Pathfinder Society	The Society gave you access to charts detailing the weak spots of hundreds of humanoids and monsters. You gain a +1 trait bonus on damage rolls from sneak attacks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Blade%20of%20the%20Society
Blight's Bane	Basic (Combat)	Basic (Combat)	People of the Wastes pg. 3		You are trained in the destruction of blights. You gain a +2 trait bonus to confirm critical hits against a creature that has a template affiliated with some kind of communicable condition, such as a blighted fey or a fungal creature.	https://aonprd.com/TraitDisplay.aspx?ItemName=Blight's%20Bane
Bloodthirsty	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		You have a vicious streak, and nothing<br>satisfies you more than warm blood on your hands and<br>blade. Whenever you make an attack that reduces a foe to<br>0 hit points or fewer or you confirm a critical hit, your<br>attack deals 1 additional point of damage. The additional<br>damage is a trait bonus, and is multiplied by your weapon’s<br>critical hit multiplier.	https://aonprd.com/TraitDisplay.aspx?ItemName=Bloodthirsty
Bloody-Minded	Basic (Combat)	Basic (Combat)	Champions of Corruption pg. 11		You are always ready for bloodshed. You gain a +1 trait bonus on initiative and Intimidate checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Bloody-Minded
Born under the Cradle	Basic (Combat)	Basic (Combat)	People of the Stars pg. 27		Your birth sign aligned significantly with Bretheda on the day you were born, granting you a knack for cooperation in the heat of battle. You gain a +2 trait bonus on attack rolls to perform the aid another action.	https://aonprd.com/TraitDisplay.aspx?ItemName=Born%20under%20the%20Cradle
Born under the Dreamer	Basic (Combat)	Basic (Combat)	People of the Stars pg. 25		Your birth sign aligned significantly with Liavara on the day you were born, and you are touched by the instinctual dreaming spirit of that planet, making you naturally poised and hard to surprise. Once per day as a free action, you can take 10 on your initiative check.	https://aonprd.com/TraitDisplay.aspx?ItemName=Born%20under%20the%20Dreamer
Born under the Stranger	Basic (Combat)	Basic (Combat)	People of the Stars pg. 31		Your birth was marked by the alignment of Aucturn with your birth sign and by strange happenings, giving you a link to alien beings. When feinting against aberrations, you do not take a –4 penalty for feinting against a non-humanoid creature, and you take only a –4 penalty if you feint against an aberration of animal Intelligence (instead of –8). You still cannot feint against mindless creatures.	https://aonprd.com/TraitDisplay.aspx?ItemName=Born%20under%20the%20Stranger
Broken, Not Beaten	Basic (Combat)	Basic (Combat)	Agents of Evil pg. 11		You automatically stabilize when reduced below 0 hit points. Once per day when brought below 0 hit points, you can accept 1 point of damage to regain consciousness for 1 round, though you remain staggered and only able to take a single move or standard action.	https://aonprd.com/TraitDisplay.aspx?ItemName=Broken,%20Not%20Beaten
Bullied	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		You were bullied often as a child, and you are<br>now constantly ready to defend yourself with your fists<br>when an enemy comes near. You gain a +1 trait bonus on<br>attack of opportunity attack rolls made with unarmed<br>strikes. Note that this trait does not grant the ability to<br>make attacks of opportunity with your unarmed strikes—<br>you must have a level in monk, the Improved Unarmed<br>Strike feat, or some other similar power to gain the use<br>of this character trait. However, that doesn’t prevent you<br>from selecting this trait. You simply cannot make use of<br>it until a later point if you do.	https://aonprd.com/TraitDisplay.aspx?ItemName=Bullied
Careful Combatant	Basic (Combat)	Basic (Combat)	Champions of Purity pg. 11		You have a strong<br>sense of self-preservation, believing it is more<br>important to safely extract yourself from a fight that has turned hopeless than to stubbornly stand your<br>ground and risk death—for when you’re dead, you can’t<br>protect the innocent. When using the withdraw action,<br>both the first and second squares of your movement are<br>not considered threatened by any opponents you can see,<br>rather than just the first square.	https://aonprd.com/TraitDisplay.aspx?ItemName=Careful%20Combatant
Clockwork Engineer	Basic (Combat)	Basic (Combat)	People of the Wastes pg. 3		You have experience with the ancient clockwork constructs that roam certain wastelands, and this has granted you an understanding of these guardians. You gain a +2 trait bonus on damage rolls against creatures with the clockwork subtype.	https://aonprd.com/TraitDisplay.aspx?ItemName=Clockwork%20Engineer
Coherent Rage	Basic (Combat)	Basic (Combat)	Faction Guide pg. 62	Ulfen Guard	Your determination allows you to hold onto a shred of your rational mind at all times. Select one of the following skills: Bluff, Escape Artist, Handle Animal, or Stealth. You may use this skill normally while raging.	https://aonprd.com/TraitDisplay.aspx?ItemName=Coherent%20Rage
Cold and Calculating	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		You are adept at tricking favored<br>enemies of your race or those related to your race. You<br>gain a +1 trait bonus on all Bluff checks against favored<br>enemies that share one of your subtypes. You also gain a<br>+1 trait bonus on attack rolls made against such favored<br>enemies during the surprise round.	https://aonprd.com/TraitDisplay.aspx?ItemName=Cold%20and%20Calculating
Courageous	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		Your childhood was brutal, but you<br>persevered through force of will and faith. No matter<br>how hard things got, you knew you’d make it through as<br>long as you kept a level head. You gain a +2 trait bonus on<br>saving throws against fear effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Courageous
Crimson Carapace	Basic (Combat)	Basic (Combat)	Armor Master's Handbook pg. 3		A combination of armor and agility protects you from deadly attacks. When wearing light armor and fighting defensively or using Combat Expertise, you receive a +2 trait bonus to your AC against attack rolls to confirm a critical threat.	https://aonprd.com/TraitDisplay.aspx?ItemName=Crimson%20Carapace
Crowd Dodger	Basic (Combat)	Basic (Combat)	Quests and Campaigns pg. 18		You spent much of your youth on<br>crowded streets, dodging quickly around and under<br>others. You gain a +2 trait bonus on Acrobatics checks<br>to move through another creature’s space and to avoid<br>attacks of opportunity for leaving a threatened square.<br>Suggested Characters: Absalom natives, Chelaxians,<br>Lion Blades.	https://aonprd.com/TraitDisplay.aspx?ItemName=Crowd%20Dodger
Dedicated Defender	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		When a companion is down, you<br>fight harder. You gain a +1 trait bonus on attack rolls<br>and on checks made to overcome spell resistance while<br>you are adjacent to a dying or disabled ally, animal<br>companion, eidolon, familiar, or mount.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dedicated%20Defender
Defender of the Society	Basic (Combat)	Basic (Combat)	Shattered Star Player's Guide pg. 5	Fighter, Pathfinder Society	Your time spent studying the greatest warriors of the Society taught you new defensive skills while wearing armor. You gain a +1 trait bonus to Armor Class when wearing medium or heavy armor.	https://aonprd.com/TraitDisplay.aspx?ItemName=Defender%20of%20the%20Society
Deft Dodger	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		Growing up in a rough neighborhood<br>or a dangerous environment has honed your senses. You<br>gain a +1 trait bonus on Reflex saves.	https://aonprd.com/TraitDisplay.aspx?ItemName=Deft%20Dodger
Demon Slayer	Basic (Combat)	Basic (Combat)	Faction Guide pg. 62	Mendev Crusaders	By studying a demonic opponent, you can sense and target its weak spots. You can attempt a Knowledge (planes) check to find a demon’s weak spot. (DC 10 + the demon’s CR). If you succeed, you gain a +3 trait bonus on rolls to confirm critical hits against that demon until the end of the battle. This effect only works on demons.	https://aonprd.com/TraitDisplay.aspx?ItemName=Demon%20Slayer
Demon Smiter	Basic (Combat)	Basic (Combat)	Champions of Purity pg. 13		You grew up around those<br>who fight the demons streaming out of the Worldwound,<br>and from their stories you learned about the demons’<br>weaknesses. You are likely from Mendev or have joined that<br>nation’s cause as a crusader. Once per day when fighting<br>demons, you gain a +4 trait bonus on a single attack roll.	https://aonprd.com/TraitDisplay.aspx?ItemName=Demon%20Smiter
Devil Fighter	Basic (Combat)	Basic (Combat)	Armor Master's Handbook pg. 2		Learning how devils think helps you resist their trickery. You gain a +1 trait bonus to your AC against attacks made by lawful outsiders.	https://aonprd.com/TraitDisplay.aspx?ItemName=Devil%20Fighter
Dirty Fighter	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		You wouldn’t have lived to make it<br>out of childhood without the aid of a sibling, friend,<br>or companion you could always count on to<br>distract your enemies long enough for you<br>to do a little bit more damage than normal.<br>That companion may be another PC or an<br>NPC (who may even be recently departed<br>from your side). When you hit a foe you<br>are flanking, you deal 1 additional point<br>of damage (this damage is added to<br>your base damage, and is multiplied on<br>a critical hit). This additional damage is a<br>trait bonus.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dirty%20Fighter
Dirty Trickster	Basic (Combat)	Basic (Combat)	Antihero's Handbook pg. 7		You learned early that there’s no point in fighting fair when you’re fighting for your life. Others may look down their noses at your tactics, but you know you wouldn’t have survived this long without breaking a few conventions of fair play. You can take the Improved Dirty TrickAPG feat without meeting its prerequisites, and you gain a +1 trait bonus on combat maneuver checks to attempt a dirty trickAPG.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dirty%20Trickster
Disillusioned	Basic (Combat)	Basic (Combat)	Quests and Campaigns pg. 18		Your childhood was ended by a great<br>disaster or atrocity that you witnessed. To cope with<br>the horror, you have learned to reflexively suppress all<br>emotion. You gain a +2 trait bonus on Will saving throws<br>against emotion and fear effects.<br>Suggested Characters: Galtans, Hellknights, Nidalese.	https://aonprd.com/TraitDisplay.aspx?ItemName=Disillusioned
Dispelled Battler	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		When deprived<br>of magic, you fight harder. You gain<br>a +1 trait bonus on weapon attack<br>and damage rolls while within<br>an area of antimagic such as that<br>created by an antimagic field. You also<br>gain this bonus for 1 round after you are<br>subject to an area or targeted dispel magic<br>spell, regardless of the effect’s success<br>or failure in dispelling your spells<br>and magical effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dispelled%20Battler
Dormant Defense	Basic (Combat)	Basic (Combat)	People of the Wastes pg. 4		Your body never lets down its defenses, even when you rest. The DC for Perception checks you attempt while asleep increases only by 7 (instead of the normal +10 increase). While you are dazed, stunned, or helpless, each critical hit or sneak attack scored against you has a 25% chance of being negated; when a critical hit or sneak attack is negated, roll its damage normally. This doesn’t stack with the fortification armor special ability and similar effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dormant%20Defense
Dragon Armor	Basic (Combat)	Basic (Combat)	Armor Master's Handbook pg. 3		Xa Hoi’s elite warriors are trained to deflect energy attacks. Choose an energy type (acid, cold, electricity, fire, or sonic) when you acquire this trait. When you are wearing medium or heavy armor, you gain a +2 trait bonus on Reflex saves against spells and effects of the chosen energy type.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dragon%20Armor
Dueling Cloak Adept	Basic (Combat)	Basic (Combat)	Knights of the Inner Sea pg. 0		You are trained in using your cloak to disguise your body and deceive your enemies. While wearing a cloak and using an Aldori dueling sword, you gain a +2 trait bonus on Bluff checks made to feint. Additionally, every time you successfully feint while wearing a cloak, you gain a +1 dodge bonus to your Armor Class until your next turn.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dueling%20Cloak%20Adept
Easy Way or the Hard Way	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 52		You are skilled at subduing<br>your enemies. Whenever you<br>attack one of your favored<br>enemies with a weapon that<br>deals lethal damage and<br>choose to deal nonlethal<br>damage, you take only<br>a –2 penalty on the<br>attack roll instead of the<br>normal –4.	https://aonprd.com/TraitDisplay.aspx?ItemName=Easy%20Way%20or%20the%20Hard%20Way
Elemental Apprentice	Basic (Combat)	Basic (Combat)	Elemental Master's Handbook pg. 3		You spent your childhood in a region of Golarion where the use of elemental magic is commonplace or the environment is heavily infused with elemental energies, such as the volcano Asuulek’s Mouth or the hurricane-lashed Sodden Lands. Your time near raw elemental energies has inured you to taking damage from them. At character creation, select acid, cold, electricity, or fire (once chosen, this damage type can’t be changed). Once per day as a free action, when you hit a creature with a melee weapon, you can convert an amount of damage dealt by your attack equal to your character level into the selected energy type. You cannot convert this damage if any damage from the attack would normally deal a different type of energy damage (such as that of a flaming weapon).	https://aonprd.com/TraitDisplay.aspx?ItemName=Elemental%20Apprentice
Evasive Sting	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		Larger enemies have a hard time striking<br>you. You gain a +1 dodge bonus to AC against enemies<br>that are both your favored enemy and at least two size<br>categories larger than you.	https://aonprd.com/TraitDisplay.aspx?ItemName=Evasive%20Sting
Excitable	Basic (Combat)	Basic (Combat)	Gnomes of Golarion pg. 14	Gnome	You demand that everything must happen right now, no matter what, and are too impatient to wait for everyone else to catch up. You finish people’s sentences, blurt out the punch lines to slowly-told jokes, rarely make plans, and leap headlong into anything that looks like it might get interesting. While this has sometimes gotten you in trouble, it’s also trained you to start moving a split second before everyone else, and that’s saved your hide a few times as well. You gain a +2 trait bonus on all Initiative checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Excitable
Failed Aspirant	Basic (Combat)	Basic (Combat)	Advanced Class Origins pg. 11		You’ve failed the trials to gain entry to one of the Houses of Perfection. Though you are disappointed, you were able to pick up one trick from the monks. Choose a single combat maneuver. Once per day, you can perform that combat maneuver without provoking an attack of opportunity, and you gain a +2 bonus on that attempt.	https://aonprd.com/TraitDisplay.aspx?ItemName=Failed%20Aspirant
Faith's Hunter	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		Divine powers smile upon you each<br>time you grievously wound a favored enemy. When you<br>confirm a critical hit against a favored enemy, you may<br>extend the duration of any divine spell affecting you by<br>1 round. The benefits from multiple critical hits stack.<br>Divine spells with an instantaneous duration can’t be<br>extended in this manner.	https://aonprd.com/TraitDisplay.aspx?ItemName=Faith's%20Hunter
Fencer	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		You trained with blades for long hours as a<br>youth, either taking lessons in the genteel art of fencing<br>from tutors paid for by your parents or being taken under<br>the wing of a disenfranchised fencer who may have turned<br>to a life of crime. You gain a +1 trait bonus on attack of<br>opportunity attack rolls made with daggers, swords, and<br>similar bladed weapons.	https://aonprd.com/TraitDisplay.aspx?ItemName=Fencer
Firebug	Basic (Combat)	Basic (Combat)	Quests and Campaigns pg. 18		You were the child of a gunsmith or alchemist<br>and always enjoyed experimenting with fiery alchemical<br>items and minor explosives. You gain a +1 trait bonus<br>on attack rolls made with thrown splash weapons and<br>alchemist bombs.<br>Suggested Characters: Alkenstar natives, Katapeshi, Thuvians.	https://aonprd.com/TraitDisplay.aspx?ItemName=Firebug
Fugitive	Basic (Combat)	Basic (Combat)	Antihero's Handbook pg. 7		You crossed the law (or those in charge thought you did), and you are now a wanted criminal. As such, you have grown used to looking over your shoulder wherever you go. While in settlements, you gain a +3 trait bonus on Perception checks to determine awareness for the purpose of a surprise round.	https://aonprd.com/TraitDisplay.aspx?ItemName=Fugitive
Guerrilla Tactics	Basic (Combat)	Basic (Combat)	Wilderness Origins pg. 2		You gain a +2 trait bonus on Stealth checks and Initiative checks in forests.	https://aonprd.com/TraitDisplay.aspx?ItemName=Guerrilla%20Tactics
Hard to Kill	Basic (Combat)	Basic (Combat)	Champions of Purity pg. 7		Your strong will to live and<br>spread good combined with your pure physicality makes<br>you a tough opponent to take down. You may have<br>discovered this as a child after a tragic accident or during<br>the course of your first battle. When you are attempting<br>a Constitution check to stabilize when dying, the penalty<br>on the check is only half your negative hit point total<br>instead of your full negative hit point total.	https://aonprd.com/TraitDisplay.aspx?ItemName=Hard%20to%20Kill
Hellknight Devotion	Basic (Combat)	Basic (Combat)	Advanced Class Origins pg. 25		Your family has strong ties to a Hellknight order, and you harness this belief as a weapon. Once per day as a swift action, you can empower the next single melee attack you make to be treated as lawful-aligned for the purpose of overcoming damage reduction.	https://aonprd.com/TraitDisplay.aspx?ItemName=Hellknight%20Devotion
Hellknight Initiate	Basic (Combat)	Basic (Combat)	Monster Summoner's Handbook pg. 10		You have laboriously studied the training rites of various Hellknight orders with the intent of joining one yourself. You gain a +2 trait bonus on damage rolls against outsiders summoned through conjuration (calling) and conjuration (summoning) spells and effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Hellknight%20Initiate
Helpful	Basic (Combat)	Basic (Combat)	Champions of Purity pg. 9		You always know the best way to<br>assist your companions, be it assisting them with a task,<br>defending them in battle, or helping them place a wellaimed<br>strike. When using the aid another action, you<br>grant your ally a +3 bonus instead of a +2 bonus.	https://aonprd.com/TraitDisplay.aspx?ItemName=Helpful
Hidden Hand	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		Your concealed weapons strike fast and<br>true. You gain a +1 trait bonus on Sleight of Hand checks<br>made to conceal light weapons and a +1 trait bonus on<br>attack rolls when making an attack with a light weapon<br>during a surprise round.	https://aonprd.com/TraitDisplay.aspx?ItemName=Hidden%20Hand
Hill Fighter	Basic (Combat)	Basic (Combat)	Sargava, the Lost Colony pg. 23	Sargavan	You are used to fighting in hilly environments (Pathfinder RPG Core Rulebook 427–428). You may run or charge downhill on a steep slope (moving up to your base speed) without making an Acrobatics check to avoid stumbling—but if you travel farther than this distance, the normal rules for steep slopes apply.	https://aonprd.com/TraitDisplay.aspx?ItemName=Hill%20Fighter
Holdout	Basic (Combat)	Basic (Combat)	Quests and Campaigns pg. 18		You were robbed at a young age by bullies, an<br>experience that impressed upon you the importance of<br>being able to hold on to whatever you cared to keep. You<br>gain a +1 trait bonus to CMD against disarm and steal<br>combat maneuvers.<br>Suggested Characters: Half-orcs, River Kingdoms<br>natives, Varisians.	https://aonprd.com/TraitDisplay.aspx?ItemName=Holdout
Honored Fist of the Society	Basic (Combat)	Basic (Combat)	Shattered Star Player's Guide pg. 5	Monk, Pathfinder Society	You have studied dozens of ancient texts on martial arts that only the Society possesses, and are more learned in these arts than most. You increase your ki pool by 1 point.	https://aonprd.com/TraitDisplay.aspx?ItemName=Honored%20Fist%20of%20the%20Society
Hunter's Knack	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		When you watch and wait before<br>attacking, your strike is true. You gain a +1 trait bonus on<br>attack rolls against your favored enemies when you make<br>such attacks as part of a readied action.	https://aonprd.com/TraitDisplay.aspx?ItemName=Hunter's%20Knack
Ichimeiyo Champion	Basic (Combat)	Basic (Combat)	Weapon Master's Handbook pg. 5		You draw strength from adhering to the Ichimeiyo honor code in combat. Once per day, if an effect would compel you to harm an ally, abandon an ally, or break your word, you can attempt a Will save at the usual DC to end the effect. If the effect normally allows a Will save at this point, you can roll twice and take the better result.	https://aonprd.com/TraitDisplay.aspx?ItemName=Ichimeiyo%20Champion
Improvised Defense	Basic (Combat)	Basic (Combat)	Bastards of Golarion pg. 25		You’re never defenseless, even when you are caught off guard. Whenever you wield an improvised weapon, you gain a +1 shield bonus to AC. If you use the improvised weapon to attack, you lose this shield bonus until the beginning of your next turn.	https://aonprd.com/TraitDisplay.aspx?ItemName=Improvised%20Defense
Indelible Ire	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		When you are gravely wounded, you’re<br>stirred to greater combat focus. Each time a critical hit is<br>confirmed against you, you gain a +1 trait bonus on attack<br>rolls for 1 round.	https://aonprd.com/TraitDisplay.aspx?ItemName=Indelible%20Ire
Inspiring Rush	Basic (Combat)	Basic (Combat)	Knights of the Inner Sea pg. 0		Your charge inspires nearby companions to new heights of daring. Once per day when you make a charge attack, you gain a +1 trait bonus on both your attack and damage rolls, as do any allies who make a charge attack before the beginning of your next turn.	https://aonprd.com/TraitDisplay.aspx?ItemName=Inspiring%20Rush
Inspiring	Basic (Combat)	Basic (Combat)	Quests and Campaigns pg. 18		As a child, you learned the power of a simple<br>expression of faith in another when you gave a hero the<br>inspiration to fight on in the face of terrible odds and<br>save you from danger. As a standard action, you can speak<br>words of encouragement to grant a +1 morale bonus to an<br>ally within 30 feet who can see and hear you. The ally can<br>use this bonus on any d20 roll of her choice before the<br>start of your next turn. You cannot use this trait to grant<br>a bonus to yourself or to an ally who has already benefited<br>from this trait within the last 24 hours.<br>Suggested Characters: Eagle Knights, Iomedaeans,<br>Mendevian crusaders.	https://aonprd.com/TraitDisplay.aspx?ItemName=Inspiring
Jacket Training	Basic (Combat)	Basic (Combat)	Armor Master's Handbook pg. 2		You can treat an armored coatUE as light armor. This choice must be made when you don the armor, and can’t be changed until you remove and redon the armor. You must still be proficient in wearing medium armor to avoid adding the armor’s check penalty on all attack rolls and skill checks that involve moving.	https://aonprd.com/TraitDisplay.aspx?ItemName=Jacket%20Training
Jungle Fighter	Basic (Combat)	Basic (Combat)	Sargava, the Lost Colony pg. 23	Sargavan	You are sure-footed in jungle environments, and your speed may not be reduced to less than 10 feet by difficult terrain in jungles (meaning you may take a 5-foot step in difficult terrain and not provoke an attack of opportunity).	https://aonprd.com/TraitDisplay.aspx?ItemName=Jungle%20Fighter
Just Like New	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		Broken firearms are not problems—they<br>are challenges. Your first attempt to remove the broken<br>condition from your starting firearm and to upgrade it<br>to a masterwork weapon costs 150 gp instead of 300 gp.<br>In addition, when wielding a firearm that has the broken<br>condition or is treated as if it had the broken condition,<br>you take a –1 penalty on attack rolls made with it instead<br>of the normal –2.	https://aonprd.com/TraitDisplay.aspx?ItemName=Just%20Like%20New
Killer	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		You made your first kill at a very young age and<br>found the task of war or murder to your liking. You either<br>take particular pride in a well-placed blow, or find vile<br>pleasure in twisting the blade to maximize your target’s<br>pain. You deal an amount of additional damage equal<br>to your weapon’s critical hit modifier when you score a<br>successful critical hit with a weapon; this additional<br>damage is added to the final total, and is not multiplied<br>by the critical hit multiple itself. This extra damage is a<br>trait bonus.	https://aonprd.com/TraitDisplay.aspx?ItemName=Killer
Kin Guardian	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 53		You are dedicated to defending members<br>of your family. When you use the aid another action to give a<br>member of your family a bonus to AC, increase the bonus by<br>2. This increase is a trait bonus (and therefore doesn’t stack<br>with increases granted by other family members using this<br>trait). This trait has no effect when using the aid another<br>action to increase a family member’s next attack roll.	https://aonprd.com/TraitDisplay.aspx?ItemName=Kin%20Guardian
