race	trait_name	replaces	source	description	url
Dwarves	Dimdweller	Greed, Stonecunning	Blood of Shadows pg. 4	Characters with this trait are at home in gloomy conditions. Whenever these characters benefit from concealment or full concealment due to darkness or dim light, they gain a +2 racial bonus on Intimidate, Perception, and Stealth checks.<br>Dwarves can take this trait in place of the greed and stonecunning traits. Elves, gnomes, halflings, and half-orcs can take this trait in place of weapon familiarity. Half-elves can take this trait in place of adaptability. Humans can take this trait in place of the skilled trait, also gaining darkvision to a range of 60 feet.<br>Fey Magic<br>Source Heroes of the Wild pg. 5<br>The character has a mystic connection to one terrain type, selected from the ranger's favored terrain list. The character selects three 0-level druid spells and one 1st-level druid spell. If the character has a Charisma score of 11 or higher, when in the selected terrain, she gains these spells as spell-like abilities that can be cast once per day. The caster level for these effects is equal to the user's character level. The DC for the spell-like abilities is equal to 10 + the spell's level + the user's Charisma modifier. These spells are treated as being from a fey source for the purposes of the druid's resist nature's lure class feature and similar abilities.<br>A dwarf can take this trait in place of greed and stonecunning. An elf, half-elf, or halfling can take this trait in place of keen senses. A gnome can take this trait in place of obsessive. A half-orc can take it in place of orc ferocity. A human can take it in place of skilled. A human who replaces skilled with fey magic also gains fey thoughts and low-light vision.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Healthy	Hardy	Horror Adventures pg. 38	Dwarves with this racial trait gain a +2 racial bonus on saves against disease and poison, and they need one fewer consecutive successful save (minimum 1) to be cured of diseases and poisons. This racial trait replaces hardy.<br>Magic Resistant<br>Source Advanced Race Guide pg. 12, Advanced Player's Guide pg. 11<br>Some of the older dwarven clans are particularly resistant to magic. Dwarves with this racial trait gain spell resistance equal to 5 + their character level. This resistance can be lowered for 1 round as a standard action. Dwarves with this racial trait take a –2 penalty on all concentration checks made in relation to arcane spells. This racial trait replaces hardy.<br>Stubborn<br>Source Advanced Race Guide pg. 12, Advanced Player's Guide pg. 11<br>Dwarves are renowned for their stubbornness. Dwarves with this racial trait receive a +2 racial bonus on Will saves to resist spells and spell-like abilities of the enchantment (charm) and enchantment (compulsion) schools. In addition, if they fail such a save, they receive another save 1 round later to prematurely end the effect (assuming it has a duration greater than 1 round). This second save is made at the same DC as the first. If the dwarf has a similar ability from another source (such as a rogue’s slippery mind), he can only use one of these abilities per round, but he can try the other on the second round if the first reroll ability fails. This racial trait replaces hardy.<br>Unstoppable<br>Source Inner Sea Races pg. 210<br>Some dwarves train from a young age to outlast orcs on the battlefield. They gain Toughness as a bonus feat and a +1 racial bonus on Fortitude saves. This racial trait replaces hardy.<br>Viscous Blood<br>Source Horror Adventures pg. 38<br>Dwarves with this trait takes 1 less point of hit point damage, ability damage, or ability drain (minimum 1) from bleed and blood drain. They can attempt Heal checks to staunch their own bleeding as a swift action each round. This racial trait replaces hardy.<br>Wanderer<br>Source Legacy of the First World pg. 4<br>Freed from the confines of duty, certain fey-touched dwarves are stricken with wanderlust. These dwarves are often considered untrustworthy vagabonds by other dwarves but excel at the rigors of traveling. They gain Endurance as a bonus feat, and Climb and Swim are class skills for them. This racial trait replaces hardy.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Ancient Enmity	Hatred	Advanced Race Guide pg. 11	Dwarves have long been in conflict with elves, especially the hated drow. Dwarves with this racial trait receive a +1 racial bonus on attack rolls against humanoid creatures of the elf subtype. This racial trait replaces hatred.<br>Fey Thoughts<br>Source Heroes of the Wild pg. 5<br>The character sees the world more like a native of the First World. Select two of the following skills: Acrobatics, Bluff, Climb, Diplomacy, Disguise, Escape Artist, Fly, Knowledge (nature), Perception, Perform, Sense Motive, Sleight of Hand, Stealth, Swim, or Use Magic Device. The selected skills are always class skills for the character.<br>A dwarf can take this trait in place of hatred. An elf, gnome, or half-orc can take this trait in place of racial weapon familiarity. A half-elf can take this trait in place of multitalented. A halfling can take it in place of fearless. In the case of humans, this trait replaces the skilled trait (and the human also gains fey magic and low-light vision, as detailed in Fey Magic, above).<br>Giant Hunter<br>Source Advanced Race Guide pg. 12<br>Dwarves with this racial trait gain a +1 bonus on attack rolls against humanoids with the giant subtype. Furthermore, they gain a +2 bonus on Survival checks to find and follow tracks made by humanoids with the giant subtype. This racial trait replaces the hatred racial trait.<br>Giant Hunter (Kneecapper Training)<br>Source Rival Guide pg. 35<br>Kneecapper dwarves gain a +1 bonus on attack rolls against humanoids with the giant subtype. Furthermore, they gain a +2 bonus on Survival checks to find and follow tracks made by humanoids with the giant subtype. This racial trait replaces the hatred racial trait.<br>Industrious Urbanite<br>Source Heroes of the Streets pg. 8<br>Dwarves who have adapted to the expectations of their host cities make double the normal progress on Craft checks to create nonmagical items and gain a +4 bonus on Profession checks to earn money. This racial trait replaces hatred.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Xenophobic	Languages	Advanced Race Guide pg. 12	Isolationist dwarves despise non-dwarven humanoids. They speak only Dwarven and do not gain any bonus languages from possessing a high Intelligence score. In addition, they learn only one language per 2 ranks of Linguistics they possess. However, their untrusting nature gives them a +1 bonus against mind-affecting effects, except for fear affects. This racial trait replaces a dwarf’s normal languages.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Iron Citizen	Stability	Heroes from the Fringe pg. 5	Dwarves with this racial trait gain a +2 bonus on Diplomacy and Sense Motive checks, and Diplomacy is a class skill for such dwarves.<br>This replaces stability.<br>Mountaineer<br>Source Advanced Race Guide pg. 12<br>Mountain dwarves are skilled at climbing and navigating narrow ledges. Dwarves with this racial trait are immune to altitude sickness and do not lose their Dexterity bonus to AC when making Climb or Acrobatics checks to cross narrow or slippery surfaces. This racial trait replaces stability.<br>Relentless<br>Source Advanced Race Guide pg. 12, Advanced Player's Guide pg. 11<br>Dwarves are skilled at pushing their way through a battlefield, tossing aside lesser foes with ease. Dwarves with this racial trait receive a +2 bonus on combat maneuver checks made to bull rush or overrun an opponent. This bonus only applies while both the dwarf and his opponent are standing on the ground. This racial trait replaces stability.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Tightfisted	Stability, Stonecunning	Horror Adventures pg. 38	Dwarves with this racial trait gain a +4 racial bonus to their CMD against disarm and stealAPG combat maneuvers and a +2 racial bonus on Perception checks to notice Sleight of Hand attempts. If a dwarf with this trait notices a Sleight of Hand attempt to steal from him and the dwarf is not flat-footed or has Combat Reflexes, the attempt triggers an attack of opportunity from that dwarf. This racial trait replaces stability and stonecunning.<br>Treasure Sense<br>Source Legacy of Dragons pg. 10<br>Some dwarves have learned to sense the presence of material wealth with dragonlike precision. This ability functions as scent, except it can detect only precious metals (copper, silver, and gold) and creatures primarily made of such materials. This trait replaces stability and stonecutting	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Barrow Scholar	Stonecunning	Horror Adventures pg. 38	Dwarves with this racial trait gain a +2 racial bonus on Knowledge (religion) checks to identify undead and can attempt them untrained. This racial trait replaces stonecunning.<br>Behind the Veil<br>Source Blood of Shadows pg. 4<br>Characters with this trait slyly cover their body language and movements by acting in a shadowed or partitioned areas. These characters gain a +2 bonus on Bluff and Sleight of Hand checks while benefiting from concealment or cover.<br>Dwarves can take this trait in place of stonecunning. Elves, gnomes, and half-elves can take this trait in place of low-light vision. Half-orcs can take this trait in place of intimidating, also gaining the shadow blendingARG fetchling racial trait. Halflings can take this trait in place of weapon familiarity.<br>Conservative Diplomacy<br>Source Heroes of the High Court pg. 14<br>A dwarf can embrace predictable traditions to avoid social missteps. A dwarf with this racial trait can rely upon conservative tactics when attempting a Diplomacy check; this choice must be made before the Diplomacy check is attempted. The dwarf treats any roll of less than 5 on such a Diplomacy check as though she had rolled a 5, but she treats any roll higher than 15 on such a check as though she rolled a 15. This racial trait replaces stonecunning.<br>Rock Stepper<br>Source Advanced Race Guide pg. 12<br>Dwarves with this racial trait can skillfully negotiate rocky terrain. They can ignore difficult terrain created by rubble, broken ground, or steep stairs when they take a 5-foot step. This racial trait replaces stonecunning.<br>Rock Stepper (Kneecapper Training)<br>Source Rival Guide pg. 35<br>Kneecapper dwarves can skillfully negotiate rocky terrain. They can ignore difficult terrain created by rubble, broken ground, or steep stairs when they take a 5-foot step. This racial trait replaces stonecunning.<br>Sense Aberration<br>Source Horror Adventures pg. 38<br>Dwarves with this trait gain a +2 racial bonus on Knowledge (dungeoneering) checks and on Perception checks to notice disguised or hidden aberrations. This racial trait replaced stonecunning.<br>Stonesinger<br>Source Advanced Race Guide pg. 12, Advanced Player's Guide pg. 11<br>Some dwarves’ affinity for the earth grants them greater powers. Dwarves with this racial trait are treated as one level higher when casting spells with the earth descriptor or using granted powers of the Earth domain, the bloodline powers of the deep earth bloodline or earth elemental bloodline, and revelations of the oracle’s stone mystery. This ability does not give them early access to level-based powers; it only affects the powers they could use without this ability. This racial trait replaces stonecunning.<br>Voice in the Darkness<br>Source Blood of Shadows pg. 5<br>Prerequisite: Charisma 13+. Characters who practice coercion and intimidation in the Darklands or on the Shadow Plane learn to do so in dim light or no light at all. As long as they are in dim light or darker conditions, characters with this trait gain a +2 bonus on Intimidate and Stealth checks.<br>Dwarves can take this trait in place of stonecunning. Drow and elves can take this trait in place of weapon familiarity. Half-elves can take this trait in place of adaptability. Half-orcs can take this trait in place of intimidating.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Shadowhunter	Weapon Familiarity	Blood of Shadows pg. 5	Those who understand the connection between shadows and the Negative Energy Plane know how to fight the spirits of darkness. Characters with this trait deal 50% weapon damage to incorporeal creatures when using nonmagical weapons (including natural and unarmed attacks), as if using magic weapons. They also gain a +2 bonus on saving throws to remove negative levels, and recover physical ability damage from attacks by undead creatures at a rate of 2 points per ability score per day (rather than the normal 1 point per ability score per day).<br>Dwarves, elves, gnomes, half-orcs, and halflings can take this trait in place of weapon familiarity. Half-elves can take this trait in place of elven immunities. Humans can take this trait in place of their bonus feat, also gaining Iron Will as a bonus feat.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Elves	Blightborn	Elven Immunities	Horror Adventures pg. 38	Elves from cursed lands and domains of evil develop resistance to foul influences. They gain a +2 racial bonus on saving throws against necromancy spells and spelllike abilities and spells and spell-like abilities with the curseUM descriptor, as well as on saving throws to remove temporary negative levels. This racial trait replaces elven immunities.<br>Dreamspeaker<br>Source Advanced Race Guide pg. 22, Advanced Player's Guide pg. 13<br>A few elves have the ability to tap into the power of sleep, dreams, and prescient reverie. Elves with this racial trait add +1 to the saving throw DCs of spells of the divination school and sleep effects they cast. In addition, elves with Charisma scores of 15 or higher may use dream once per day as a spell-like ability (caster level is equal to the elf’s character level). This racial trait replaces elven immunities.<br>Elemental Resistance<br>Source Advanced Race Guide pg. 22<br>Elves who dwell in the most extreme environments, from arctic wastelands to volcanic plains, develop natural resistance to the dangers of their homelands over the course of a few generations. Elves with this racial trait gain elemental resistance 5 to acid, cold, electricity, or fire. This choice is made at character creation, and once made it cannot be changed. This racial trait replaces elven immunities.<br>Perfect<br>Source Horror Adventures pg. 38<br>The eerie beauty of some elves cannot be denied. Elves with this racial trait receive a +1 racial bonus on Bluff and Diplomacy checks against humanoids and a +2 racial bonus on saving throws against transmutation spells and spell-like effects. This racial trait replaces elven immunities.<br>Slender<br>Source Horror Adventures pg. 39<br>Elves often appear unnaturally thin by other races’ standards. Elves with this trait gain a +2 racial bonus on Escape Artist checks, on combat maneuver checks to escape a grapple, and to CMD against grapples. This racial trait replaces elven immunities.	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Lightbringer	Elven Immunities, Elven Magic	Advanced Race Guide pg. 22	Many elves revere the sun, moon, and stars, but some are literally infused with the radiant power of the heavens. Elves with this racial trait are immune to light-based blindness and dazzle effects, and are treated as one level higher when determining the effects of any light-based spell or effect they cast (including spell-like and supernatural abilities). Elves with Intelligence scores of 10 or higher may use light at will as a spell-like ability. This racial trait replaces the elven immunities and elven magic racial traits.<br>Memories Beyond Death<br>Source Inner Sea Races pg. 211<br>Some elves are born with sensitive souls that absorb insight from others and from the spirits of the deceased. These elves gain a +2 racial bonus on saving throws against fear effects. They also choose two Knowledge skills and always treat those skills as class skills. If they take a class that grants either or both of those skills as class skills, they gain a +1 racial bonus on the overlapping skill or skills. This racial trait replaces elven immunities and elven magic.	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Moonkissed	Elven Immunities, Keen Senses	Heroes from the Fringe pg. 11	Some Spiresworn, especially those born within the Spire itself, are mystically warded from birth against dangers both mental and physical. Elves with this alternate racial trait gain a +1 racial bonus on saving throws.<br>This replaces elven immunities and keen senses.<br>Sense Thoughts<br>Source Heroes from the Fringe pg. 11<br>Ekujae are so closely attuned to each other and their environment that they seem able to read each other’s minds and their foes’ thoughts. Elves with this alternate racial trait can use detect thoughts as a spell-like ability once per day, with a caster level equal to their character level.<br>This replaces elven immunities and keen senses.	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Creepy	Elven Magic	Horror Adventures pg. 38	For some elves, their long, slender limbs and large pupils evoke not attraction, but unease in other humanoids. Non-elf humanoids take a –1 penalty on saving throws against spells these elves cast that cause confusion or fear. In addition, elves with this trait gain a +2 racial bonus on Intimidate checks to demoralize. This racial trait replaces elven magic.<br>Desert Runner<br>Source Advanced Race Guide pg. 22, Advanced Player's Guide pg. 12<br>Some elves thrive in the deepest deserts, forever roaming across burned and parched lands. Elves with this racial trait receive a +4 racial bonus on Constitution checks and Fortitude saves to avoid fatigue, exhaustion, or ill effects from running, forced marches, starvation, thirst, or hot or cold environments. This racial trait replaces elven magic.<br>Envoy<br>Source Advanced Race Guide pg. 22<br>Elves often have trouble relating to neighbors of other races, especially those with much shorter lifespans. As a result, some are trained in minor magics that are particularly useful when dealing with non-elves. Elves with this racial trait and an Intelligence score of 11 or higher gain the following spell-like abilities once per day: comprehend languages, detect magic, detect poison, and read magic. The caster level for these effects is equal to the elf’s level. This racial trait replaces elven magic.<br>Eternal Grudge<br>Source Advanced Race Guide pg. 22, Advanced Player's Guide pg. 13<br>Some elves grow up in secluded, isolationist communities where generations-old slights and quarrels linger as eternal blood feuds. Elves with this racial trait receive a +1 bonus on attack rolls against humanoids of the dwarf and orc subtypes because of special training against these hated foes. This racial trait replaces elven magic.<br>Fey-Sighted<br>Source Legacy of the First World pg. 4<br>To some elves with fey heritage, magic is a visible presence they have known all their lives. These elves have detect magic as a constant spell-like ability, with a caster level equal to their character level. This racial trait replaces elven magic.<br>Frostmelding<br>Source Heroes from the Fringe pg. 12<br>A few rare Snowcaster elves are able to supernaturally blend with their surroundings to avoid the eyes of outsiders. Elves with this alternate racial trait can use meld into stone as a spell-like ability once per day, with a caster level equal to their character level, except that they instead meld with snow and ice and the spell duration is 1 round per level.<br>This replaces elven magic.<br>Keeper of Secrets<br>Source Horror Adventures pg. 38<br>Some elves seek to protect younger races from dangerous lore. The save DCs of enchantment spells they cast against humanoids increase by 1 and they receive a +2 racial bonus on Bluff and Linguistics checks to omit or cover up facts. This racial trait replaces elven magic.<br>Light against Darkness<br>Source Horror Adventures pg. 38<br>Elves have fought against the corruption of demons since time immemorial. Elves with this trait receive a +1 bonus on attack rolls against outsiders with the demon subtype. This racial trait replaces elven magic.<br>Retreat Magic<br>Source Inner Sea Races pg. 211<br>Elves raised in the traditions of those who protected elven holdings before, during, and shortly after Earthfall specialize in magic that fools foes into misjudging elven numbers and locations. These elves gain a +1 racial bonus to their caster levels for the purpose of determining the range and duration of all conjuration and illusion spells that they cast. This racial trait replaces elven magic.<br>Shadowplay<br>Source Blood of Shadows pg. 5<br>Some illusionists are experts in manipulating light and darkness. Characters with this trait cast spells with the darkness, light, or shadowUM descriptor at +1 caster level.<br>Dwarves can take this trait in place of greed. Elves can take this trait in place of elven magic, also gaining the fetchling’s spell-like abilitiesARG racial trait. Gnomes can take this trait in place of gnome magic. Halflings can take this trait in place of weapon familiarity. Half-orcs can take this trait in place of intimidating, also gaining the gnome’s illusion resistance racial trait.<br>Silent Hunter<br>Source Advanced Race Guide pg. 22, Advanced Player's Guide pg. 13<br>Elves are renowned for their subtlety and skill. Elves with this racial trait reduce the penalty for using Stealth while moving by 5 and can make Stealth checks while running at a –20 penalty (this number includes the penalty reduction from this racial trait). This racial trait replaces elven magic.<br>Vigilance<br>Source Legacy of the First World pg. 12<br>Some elves train to fight against demons and evil fey with a zeal that leaves them little time to hone their magic traditions. Elves with this racial trait gain a +2 dodge bonus to AC against attacks by chaotic creatures. This trait replaces elven magic.<br>Woodcraft<br>Source Advanced Race Guide pg. 23, Advanced Player's Guide pg. 13<br>Elves know the deep secrets of the wild like no others, especially secrets of the forests. Elves with this racial trait gain a +1 racial bonus on Knowledge (nature) and Survival checks. In forest terrain, these bonuses improve to +2. This racial trait replaces elven magic.	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Ageless Patience	Elven Magic, Keen Senses	Inner Sea Races pg. 210	Some families of elves have been strongly influenced by rigidly honorable non-elven cultures, such as Forlorn elves raised in nations such as Taldor and the elves of Jinin influenced by Tian-Min travelers. This attitude, combined with elven longevity, produces elves of extraordinary patience, who can produce better results when taking their time than they could under time constraints. These elves gain a +2 racial bonus when taking 20 on skill checks. This racial trait replaces elven magic and keen senses.<br>Natural Swimmer<br>Source Pathfinder #124: City in the Deep pg. 79<br>Mordant Spire elves learn to dive and swim at an early age. Elves with this trait gain a +2 racial bonus on Swim checks and can always take 10 on a Swim check, even if distracted or endangered when swimming. This racial trait replaces elven magic and keen senses.<br>Sovyrian-Born<br>Source Inner Sea Races pg. 211<br>Elves who come from the ancient elven civilization of Sovyrian are steeped in lore older than most civilizations. They gain a +2 racial bonus on Knowledge (history), Knowledge (local), and Spellcraft checks. This racial trait replaces elven magic and keen senses.	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
