name	sphere	system	tradition	source	prerequisites	description
Friendly Banter	Bluster	Skill	Trade	[DRS]		Source: Diamond Spheres: Hustle & Bustle<br>You use Diplomacy for this sphere’s associated skill, and any checks made as part of using a quip must use Diplomacy instead. You can only take (quip) talents that affect your allies, and gain the Never Gets Old talent.
Heckler	Bluster	Skill	Trade	[DRS]		Source: Diamond Spheres: Hustle & Bustle<br>You use Perform (comedy) for this sphere’s associated skill, and any checks made as part of using a quip must use Perform (comedy) instead.
Instigator	Bluster	Skill	Trade	[DRS]		Source: Diamond Spheres: Harmony & Discord<br>You’re better at handling other people’s anger than you are their secrets. You do not gain the flaunt secrets ability, and gain the Manipulate Hostility talent.
Breathing Exercises	Body Control	Skill	Trade	[DRS]		Source: Diamond Spheres: Hustle & Bustle<br>You do not gain the Slip Past ability, and you gain the Breath Control talent instead.
Enduring Physicality	Body Control	Skill	Trade	[DRS]		Source: Diamond Spheres: Hustle & Bustle<br>When you gain this alternate start, choose either Strength or Constitution—You must use your Strength or Constitution modifier in place of the normal ability score modifier when attempting any associated skill check required in the Body Control sphere (usually when enduring an effect).
Hypnotic Control	Body Control	Skill	Trade	[SM—]		Source: Baron’s Secluded Library<br>You use Autohypnosis instead of Escape Artist as the associated skill.
Incredible Stamina	Body Control	Skill	Trade			You do not gain the Slip Past ability, and you gain the Endurance Training talent instead.
Physiological Focus	Body Control	Skill	Trade			You use Heal instead of Escape Artist for the associated skill, and unlock skill leverage with Heal in addition to the usual skills.
Zen Mind	Body Control	Skill	Trade	[DRS]		Source: Diamond Spheres: Hustle & Bustle<br>You cannot endure, and do not gain the bonus (control) talent as part of gaining the Body Control sphere. Instead, you gain a (contemplation) talent of your choice, as well as the Flexible Contemplation talent as a bonus talent.
Aggressive	Communication	Skill	Trade			You use Intimidate for the associated skill. You cannot communicate simple concepts or complex information with creatures you share a rapport with. Instead, you can use Intimidate to demand cooperation from any creature who shares your rapport or whose motivation you know as a full-round action without taking a penalty.
Animal Whisperer	Communication	Skill	Trade			You find it much easier to empathize and relate to beasts. You may only use your Communication sphere abilities with creatures of the animal, magical beast, or vermin types, and use Handle Animal in place of the associated skill. You gain the Beast Whisperer talent from this drawback.
Apprentice	Communication	Skill	Trade	[DRS]		Source: Diamond Spheres: Harmony & Discord<br>You lose the bonus (rapport) talent when you first gain the sphere, and gain an (assist) talent of your choice. You can choose to lose the build rapport ability to gain an additional (assist) talent. This sphere-specific drawback can be taken as a [utility start] if the talent(s) gained as part of the drawback are [utility] talents.
Bleeding Heart	Communication	Skill	Trade	[DRS]		Source: Diamond Spheres: Harmony & Discord<br>You do not gain the betray ability, and gain the Candid Disclosure talent.
Famous Leader	Faction	Skill	Trade			Your game must use either organizational influence (Pathfinder Roleplaying Game: Ultimate Intrigue) or reputation and fame (Pathfinder Roleplaying Game: Ultimate Campaign) to choose this alternate start.<br>You do not gain ranks in your associated skill from this sphere (although you must still spend ranks in the skill to improve the effects of talents). Instead, you gain fame or sway.<br>If your game uses reputation and fame, you gain 5 Fame (but no Prestige Points), to a maximum of 5 times your character level. You gain an additional 5 Fame for every talent you spend in the Faction sphere. Permanently losing Faction talents reduces your Fame by 5.<br>If your game uses organizational influence, your sway with your faction cannot fall below rank 1. Your minimum sway rises by 1 for every three talents you spend in the Faction sphere (not counting talents from sphere-specific drawbacks; maximum rank 4).<br>When you change the faction this sphere is linked to, you can transfer the fame and sway from one faction to the other.
Otherworldly Faction	Faction	Skill	Trade	[SM—]		Source: Baron’s Secluded Library<br>Your faction is made up of outsiders, spirits of the dead, or other creatures that cannot interact with the material world in a conventional manner. Any retainers you requisition cannot perceive, affect, or interact with any creatures other than you or any objects not in your possession (they can still be seen and harmed as normal). You gain a single (retainer) talent from this drawback.
Start-Up	Faction	Skill	Trade			Your faction is either still trying to get established or has had its resources stretched terribly thin due to some hardship. Your faction has half the normal maximum of gold pieces for their resource budgets, and you must select (or possess) the (supply) package to gain this drawback.<br>Due to your repeated support, you gain an additional authorization you can call upon with your faction.
Common Uses	Herbalism	Skill	Trade	[DRS]	Herbal package.	Source: Diamond Spheres: Invention & Ingenuity<br>Your understanding of herbs may be limited, or perhaps it's just a preference.<br>Your herbs no longer confer their normal benefits as noted in the herbal lore ability. You gain the Domestic Botany talent.
Disciplined Physician	Herbalism	Skill	Trade	[DRS]	Remedy package.	Source: Diamond Spheres: Invention & Ingenuity<br>You lose the Physician’s Efficacy approach. You gain a (remedy) talent of your choice.
Herbology Expert	Herbalism	Skill	Trade		Herbal package.	You lose the Naturalist’s Eye approach. You gain the Double Dose talent.
Inedible Source	Herbalism	Skill	Trade	[DRS]	Herbal package.	Source: Diamond Spheres: Invention & Ingenuity<br>The material used to create your concoctions are highly toxic or entirely inedible.<br>Your herbs cannot be consumed. You can only use herbs to create concoctions. You gain a concoction talent.<br>Incompatible: Herbology Expert.
Rancher	Herbalism	Skill	Trade	[DRS]	Herbal package.	Source: Diamond Spheres: Invention & Ingenuity<br>You lose the Naturalist's Eye approach, and gain either the Domestic Botany or Large Batch talent. You use Handle Animal as this package's associated skill.<br>Such 'herbs' are gathered from animals instead of plants or fungus, and are reliant on the prevalence of wildlife within an area.
Unconventional Practices	Herbalism	Skill	Trade			Choose a Profession skill (such as Profession (brewer, butcher, or cook)) that is relevant to the creation of food, mixtures, or concoctions (up to GM discretion). You use the chosen skill as the associated skill for the Herbalism sphere, in addition to using your ranks in that skill when meeting prerequisites that require the Herbalism sphere.
Careful Saboteur	Infiltration	Skill	Trade			Altering the original function of a device takes time, and you tend to prefer to be safer than sorry. You lose the fast sabotage ability, and gain the Planned Sabotage talent.
Ghost	Infiltration	Skill	Trade			You move quickly and quietly. You lose the fast sabotage ability, and gain the Shadower talent. You use Stealth instead of Disable Device as this sphere’s associated skill; if you gain the Skilled Sneak talent, it instead grants Disable Device as an additional associated skill.
Vandal	Infiltration	Skill	Trade			You lose the light step approach, and gain the Expert Saboteur talent.
Basic Analysis	Investigation	Skill	Trade			You focus on the big picture rather than the details. You can only gain a simple analysis whenever you use your analyze ability, and cannot gain a detailed analysis despite your result. You gain the Broad Scrutiny, Group Analysis, or Share Insights talent.
Mental Probing	Investigation	Skill	Trade	[3PP]		Source: Baron’s Glorious Arena<br>Your analytics rely on your ability to access the target telepathically. You can only analyze and scrutinize creature targets and can only analyze and scrutinize creatures who can be affected by mind-affecting effects. Any bonuses to saving throws against mind-affecting effects are added to any skill check DC made to analyze the target. You gain either the Auditory Analysis, Group Analysis, or Rapid Assessment talent.
Unorthodox Methods	Investigation	Skill	Trade			You do not commonly use deduction and awareness to discern information, opting for more specific approaches.<br>When using your analyze ability, you cannot use Perception or Sense Motive as an analyze skill. If the talent does not have any alternative skills, you may not use the talent.<br>You gain an (analyze) talent that has an analyze skill other than Perception or Sense Motive. Choose one of those other analyze skills; that skill is your associated skill for the Investigation sphere.
Cartographer	Navigation	Skill	Trade			You prefer the art of mapping the world, rather than surviving and navigating it. You lose the acclimate and pathing abilities, and gain either the Cartographer’s Knack or Lay Of The Land talent.
Focused Wayfaring	Navigation	Skill	Trade			Choose either acclimate or pathing. You lose this ability and cannot take talents with that tag or that alter the chosen ability. You gain a single (acclimation) or (pathing) talent as a bonus talent.
Heedless Advance	Navigation	Skill	Trade			Your desire to navigate is built on a boundless passion for exploration more than an understanding of your environment. You lose the acclimate and pathing abilities, and gain either the Fleet Movement or Triumphant Arrival talent.
Pointer	Navigation	Skill	Trade			Your pathing ability is a visual rather than an auditory effect. Allies may only benefit from this ability when they can see you, but do not need to hear you.
Tracker	Navigation	Skill	Trade			You lose the acclimate ability, and gain the Tracking Expert talent.
Dramaturge	Performance	Skill	Trade			You prefer assisting others in their performance, rather than performing yourself. You use Artistry instead of Perform for you chosen package’s associated skill, depending on the package—Acting: Artistry (choreography, literature, philosophy, playwriting), Dance: Artistry (choreography), Instrumental: Artistry (musical composition), Lyric: Artistry (criticism, literature, musical composition, philosophy).<br>You gain the Orchestrator talent from this alternate start, and you can only use your own Performance sphere abilities when you use Orchestrator to teach yourself a talent (which you can do as part of teaching other creatures, despite normally being unable to teach yourself). When using the Orchestrator talent, you can also grant non-utility Performance sphere talents.
Emotional Performance	Performance	Skill	Trade			Your performances require intense emotional displays to feel genuine to yourself and your audience. When subject to a non-harmless effect that evokes an emotion (such as fear effects, demoralization, or spells with the emotion descriptor), you are unable to use your Performance sphere abilities. You gain a free talent from a package from this drawback.
Instrumental Acoustics (requires (act), (dance), or (lyric) package)	Performance	Skill	Trade			Without your own melodies as a base, you find it difficult to sing with proper tempo and rhythm. In order to begin or maintain an act, dance, or lyric, you must play an instrument with at least 1 hand (or at least enough hands to play the instrument). You gain an (act), (dance), or (lyric) talent.
One-Person Show (requires (act) or (dance) package)	Performance	Skill	Trade			Whether it is not wanting to rely on the ineptitude of others, or being averse to having such a physical exchange with another person, you cannot stand to act or dance with other creatures. You cannot form a dance with another creature, instead granting the benefits of the dance to only yourself. Other creatures cannot contribute to your act’s scenes by spending actions. You gain the Flowing Theatrics talent from this alternate start.
Destabilized Focus	Spellhacking	Skill	Trade			Through a damaged implement, unstable source of magic, or some other source of instability, you have adapted to using these mishaps to your advantage. You do not gain the hack magic ability (or a (hack) talent of your choice), and gain a (mishap) talent of your choice instead. If you choose a [utility] (mishap) talent, the base sphere gains the [utility] tag.
Mundane Hacker	Spellhacking	Skill	Trade	[LG]		Source: Arcforge Players Compendium<br>You may not affect magic items with control mishap or hack magic. You gain the Machine Hacker talent. You may select Craft (mechanical) as your associated skill.
Stable Instrument	Spellhacking	Skill	Trade			You do not gain the control mishap ability, and gain the Steady Hacker talent instead. If you choose a [utility] talent as your free (hack) talent, the base sphere gains the [utility] tag.
Personal Hacking	Spellhacking	Skill	Trade			You may only use hack magic on effects that you cast, and cannot use hack magic on effects cast by a creature in range, even if they are willing. You gain a (hack) talent.
Truenamer	Spellhacking	Skill	Trade			You use Linguistics instead of Use Magic Device as the associated skill.
Incredible Memory	Study	Skill	Trade			You do not gain the prescient study ability, and you gain the Flawless Recall talent instead.
Specialized Degree	Study	Skill	Trade			Choose a single Knowledge skill. You can only use your theorize ability on pieces of information you have recalled using that Knowledge skill (for example, only being able to theorize about a dragon or magical beast if you chose Knowledge (arcana)). You gain the Earthly Aptitude, Mystical Aptitude, or Societal Aptitude feat as a bonus feat (even if you do not meet its prerequisites).
Deft	Subterfuge	Skill	Trade			You use Sleight of Hand (instead of Disguise) as the associated skill for this sphere. You lose the fast disguise ability and cannot gain (disguise) talents; you gain the Effortless Theft talent instead.
Fashionista	Subterfuge	Skill	Trade			You lose the confident subtlety approach and Baffling Revelation ability. You gain a (disguise) talent of your choice instead.
Impressionist	Subterfuge	Skill	Trade			You are adept at mimicking voices and sounds you hear. You lose the confident subtlety approach, and gain the Unrecognizable Mannerisms talent instead.
Ethical Gathering	Survivalism	Skill	Trade	[DRS]	Harvest package.	Source: Diamond Spheres: Invention & Ingenuity<br>You cannot harvest components from corpses, and gain the Humane Survivalist talent.
Hunter	Survivalism	Skill	Trade			You do not gain the talisman (harvest) talent, and cannot create talismans. You gain a (harvest) talent instead.<br>Author's Note: This sphere-specific drawback can be taken as a [utility start] if the talent(s) gained as part of the drawback are [utility] talents.
Resourceful Laborer	Survivalism	Skill	Trade			You use Craft (taxidermy) or Profession (architect, butcher, farmer, gardener, miner, monster slayer, siege engineer, trapper, or woodcutter) as your associated skill for the Survivalism sphere, in addition to using your ranks in that skill when meeting prerequisites that require the Survivalism sphere.
Slow Dredger	Survivalism	Skill	Trade		(dredge) package.	You cannot dredge as a full-round action, and must spend the normal 10 minutes of work to dredge. You gain the Efficient Preparation talent instead.
Survivalist	Survivalism	Skill	Trade	[DRS]		Source: Diamond Spheres: Invention & Ingenuity<br>You do not gain a Survivalism package. You gain the Natural Shelter, Subduer, or Survival Instinct talent. If you choose a [utility] talent, the base sphere gains the [utility] tag.
Particular Trencher	Survivalism	Skill	Trade	[DRS]	(dredge) package.	Source: Diamond Spheres: Harmony & Discord<br>Choose either harmful or beneficial dredge options; once chosen, this cannot be changed. You may only use dredge options of the chosen kind. A ‘harmful’ dredge option is something that applies a penalty or similar impediment (such as difficult terrain or a pit), whereas a ‘beneficial’ dredge option is one that applies a benefit or removes impediments (such as the Cleared Terrain option).<br>If you chose harmful dredge, you gain the Meticulous Hunter talent as a bonus talent, whereas if you chose beneficial dredge, you gain the Complex Preparation talent as a bonus talent.
Addictive Casting	General	Magic	Casting			Your magic is addictive. Whenever you spend one or more spell points, you must succeed at a Fortitude save against your addiction DC. Your addiction DC is 10, + 1 for each roll you have previously made, to a maximum of 15 + your caster level (thus, your first roll would be a DC 10, the second a DC 11, the third a DC 12, etc.). If you fail this save, you gain a minor addiction, suffering a -2 penalty to Constitution. If you already possess a minor addiction and fail your Fortitude save after spending spell points, you gain a moderate addiction. This increases the penalty to a -2 penalty to Constitution and Strength, and requires 3 saves to overcome. If you fail your save and already have a moderate addiction, you gain a severe addiction, suffering instead a -2 penalty to Dexterity, Constitution, Strength, Wisdom, and your primary casting attribute (if not Wisdom or Constitution). All penalties from your addiction are suppressed for 1 minute whenever you spend a spell point, whether or not you succeeded at your Fortitude save.<br>Each day you do not use a spell point, you may attempt a Fortitude save against your addiction DC. After succeeding at a save in this fashion, your addiction DC is reduced by 2. If you succeed at 2 consecutive saves, your addiction also reduces by one level (or disappears, if you only have a minor addiction). Unlike normal addictions, an addiction to magic cannot be cured with magic, although the Heal skill can be used to help overcome addictions similar to overcoming diseases.<br>This counts as 2 drawbacks when determining boons and bonus spell points.
Age of Reason	General	Magic	Casting	[SUE]		The presence of science and technology interrupts your flow of magic.<br>When within close range (25 feet + 5 feet per 2 MSB) of an active Tinker sphere gizmo (or other reasonably technological or “invented” item, subject to GM discretion) you increase your wild magic chance by 25%.<br>Incompatible: Clarke Compliance
Analytical Casting	General	Magic	Casting	[SM—]		Source: Baron’s Uncanny Gateway<br>Your magic requires that you know the target particularly well. When you create a magic sphere, each of the targets or the targeted area must be within the area of your pathing or an area you have analyzed. Alternatively, all targets must have been successfully analyzed, scouted, or be the subject of your theories. Casting in circumstances where none of these conditions are met requires a successful MSB check (DC 20 + ½ the caster level).
Anemic	General	Magic	Casting	[Apoc]		Source: Spheres Apocrypha: Casting Traditions 2<br>Your magic interferes with your natural circulation. If you are immune to bleed damage, you lose that immunity. If you are not subject to bleed damage (such as because of your creature type), you become subject to it. Whenever you take slashing or piercing damage, as well as bleed damage from any other source, you suffer 1 point of bleed damage plus an additional point of bleed damage for every 10 points of your magic skill bonus; this stacks with all other sources of bleed damage. The Heal DC to stop yourself from bleeding increases by your magic skill bonus. Healing from magical sources does not stop you from bleeding unless the caster succeeds on a magic skill check against your magic skill defense. If you receive healing from a non-magical source (including fast healing or regeneration) you must still receive a Heal check in order to stop the bleeding.
Area Bound	General	Magic	Casting			You are mystically bonded to a single notable location such as a cave, large tree, spring, a magical laboratory or prominent stone formation and draw your magic from it. You must remain within a number of miles equal to your MSB to use your magic normally. Using magic outside this area requires you to attempt a concentration check (DC 20 + 1/2 the caster level) to produce the desired effect. Failure means time (and any spell points) are spent, but no effect happens. You may bond to a new site of the same general type with an 8 hour ritual.
Benefactor	General	Magic	Casting	[3PP]		Source: Expanded Spheres: Baron's Lost Apocrypha<br>Your magic is not yours to use, requiring a vector of some sort to function. You gain the Mana sphere as a bonus sphere with the Gift of Knowledge talent as a bonus talent. However, you cannot use any magic sphere effects except for Gift of Knowledge. Other magic talents you possess can still be passed on to other creatures using Gift of Knowledge.
Bonded Casting	General	Magic	Casting	[3PP]		Source: Baron’s Glorious Arena<br>Your magic is connected to another non-subordinate creature, stemming from the bond between you. You may only spend spell points while within 30 feet of the bonded creature, during which time the bonded creature must be alive. You may choose a new bonded creature in a process that takes 8 hours. You must have line of sight and line of effect to the bonded creature in order to spend spell points.<br>You may take this drawback a second time. If you do, you are treated as if you are in a dead magic plane anytime you are not within 30 feet of a bonded creature for the purpose of any of your magic sphere abilities.<br>Incompatible: Center of Power, Focus Casting, Galvanized, Spell Stand-In
Burdened Magic	General	Magic	Casting	[Archmagi's HB]		Without expending proper energy, it becomes difficult for you to utilize your magic. Whenever you attempt to create a sphere effect that costs less than 2 spell points, you must succeed at a concentration check (DC 15 + your caster level if the effect costs no spell points, or DC 10 + your caster level if it costs 1 spell point) or else the sphere effect fails to manifest and any actions and spell points spent on it are wasted. As part of creating a sphere effect, you may raise the spell point cost of the sphere effect to 2 if it would be lower.<br>When using any effect that can enhance or change a sphere effect by spending additional spell points such as (amp) effects, metamagic feats, and dual sphere feats you may include the spellpoint cost of the effect when determining the cost of the sphere effect for this drawback.<br>This includes the cost from spending a spell point to allow an effect to remain without concentration, but only if it is spent as part of the action to create the sphere effect.
Card Casting	General	Magic	Casting	[3PP]		Source: Expanded Spheres: Cardcaster's Gamble<br>You cannot use abilities that cost 1 or more spell points through normal means. Instead, your magical abilities are allocated to you at random, limiting what you are capable of doing at any given moment.
Catastrophic Failure	General	Magic	Casting	[3PP]		When your magic goes wrong, it goes very wrong. Whenever you roll a natural 1 on a skill check made as part of magic sphere effect, you automatically fail the skill check. Whenever you roll a natural 1 on a concentration check, skill check, or saving throw made as part of casting a spell, the effect fails and you lose access to a chosen magic talent you possess until you rest to regain spell points. You may not lose more than 1 talent per casting. You may not benefit from effects that let you reroll or change the result of a natural 1 for any roll made as part of a magic sphere effect.<br>You may only select this drawback if you possess another drawback that requires you to make a skill check or saving throw as part of using a magic sphere effect<br>If you possess this drawback, you may select Chance feats as Drawback feats. You regain kismet when you roll a natural 1 on a concentration check or skill check made as part of casting a spell.<br>Source: Card Casting 3: Volatile Variance
Center Of Power	General	Magic	Casting			You have an obvious physical feature which is the source of your magical power. Whenever you cast, any creature observing you can clearly see that your magic originates from your center of power.<br>If a critical hit is confirmed on you, your center is disrupted and you lose 1d4 spell points (if you have them) and are dazed for 1 round. A creature can also target your center of power with a called shot, which also causes a disruption. The center of power is considered a challenging shot (-10).<br>At the GM’s discretion, certain kinds of physical restraint might also make spellcasting require a concentration check (DC 20 + caster level), depending on the nature of the center of power and the restraint. An undesirable polymorph effect may also produce the same results.<br>You may not select this drawback if you possess the Focus Casting or Galvanized drawbacks.
Charged Spells	General	Magic	Casting	[Apoc]		Source: Spheres Apocrypha: Casting Traditions<br>You must prepare a sphere effect into a charge before you can use it yourself. Preparing a charge takes 10 full-round actions (without allowing swift or free actions) in a row that provoke attacks of opportunity. If you are disrupted before you finish your charge, you must start all over to create it, but any spell points invested into its creation are not lost.<br>You must determine spell points that will be used as part of the charge as well as the talents, feats, class abilities, and any other modifiers or variables at the time of casting. Any temporary increase to caster level, ability score or other such modifier must be active during the entire creation process in order to benefit you when expended.<br>Expending a charge to use the sphere effect takes up the same action as using it regularly, and provokes (or does not provoke) attacks of opportunity as would normally happen with the effect. Spell points invested in a charge are locked and cannot be used for any other purpose until expended in the charge. A charge remains until you rest and regain spell points, but can be dismissed prematurely as a free action (this wastes the charge). You can maintain a number of charges at once equal to your magic skill bonus plus your casting ability modifier.<br>This drawback counts as 2 drawbacks for the purposes of determining boons. Temporary talents (such as those granted by the prodigy’s adaptation ability) cannot be used as part of a charge.<br>Incompatible: Diagram Magic, Prepared Casting<br>Addendum [SM—]<br>Source: Baron's Otherworldly Citadel<br>If you have the Charged Spells drawback, you may apply one or both of the following additional conditions. Each condition counts as one additional drawback.<br>Daily Power: Once you have prepared a charge that requires 3 or more spell points, you cannot prepare any charges that use the same combination of spell point cost and use of talents, feats, class abilities, and any other modifiers or variables until you rest to regain spell points. Any magic sphere effects you use that cost 2 or fewer spell points have their duration reduced to 1 minute if they would normally be higher.<br>Divided Power: No two charges you prepare may have the same combination of spell point cost and use of talents, feats, class abilities, and any other modifiers or variables. This does not stop you from preparing charges that use all of the same talents and feats but have different total spell point costs or preparing charges that use the same spell point cost but different talents and feats among them.
Clarke Compliance	General	Magic	Casting	[SUE]		Your magic is created or assisted through an external advanced mechanism, and as such is subject to many of the same limitations.<br>Your magic sphere effects are treated as both magical and mechanical for effects, whichever is more disadvantageous (such as for being countered, disabled, disrupted, resisted, or suppressed by abilities and effects that would interact with a magic or mechanical effect). Treat the gizmo level of your magic sphere effects as being equal to your magic skill bonus for the purposes of effects that depend on gizmo level.<br>Creatures in contact with an active Tinker sphere gizmo (or other reasonably technological or “invented” item, subject to GM discretion) receive a +2 circumstance bonus on saving throws against your magic sphere effects.<br>Incompatible: Age of Reason
Consciousness Linked	General	Magic	Casting			Your effects are linked to you even after you spend a spell point to have them continue without concentration. If you fall asleep or unconscious, or are dazed, stunned, confused, reduced to animal intelligence, or otherwise unable to take coherent mental actions, all of your magical effects immediately end.<br>Addendum [SM—]<br>Source: Baron’s Uncanny Gateway<br>If you select this drawback a second time, you may not spend spell points to have your spells continue without concentration.
Coy Caster	General	Magic	Casting			Your magic is a fickle thing, or perhaps you are simply possessed of performance anxiety. If you attempt to use magic while you know you are being observed, you must attempt a concentration check (DC 15 + 1/2 the caster level) to produce the desired effect. Failure means time (and any spell points) are spent, but no effect happens. If you believe you are hidden or alone, even if you are not, you may use magic normally.<br>Addendum: You may take this drawback a second time. If you do, observation of your magic by any creature other than yourself or a creature created by the effect negates its effects (as if they were inside a dead magic plane) for the duration that the effect or area of the effect is observed. If it has any remaining duration, the effect resumes as soon as nobody else is looking. A magic effect is considered to be observed if creatures can discern an overt effect as it is taking place (for example, a shapeshift or glamer would be suppressed if somebody is looking at it, but observing an active aegis or enhancement with no visible component would require some method of divination in order to be suppressed). [Alienist HB]
Decrepit Casting	General	Magic	Casting	[CrimDan]		Your magic uses your own body as fuel, rapidly withering your form the more you utilize it. The first time each round you spend one or more spell points, you must succeed at a Fortitude save against a DC of 10 + 1/2 your caster level or have your body temporarily age. When you age, you suffer the penalties (but not the benefits) as if you had aged one age category.<br>If you are already venerable or are treated as such, you instead suffer a cumulative -1 penalty to your Constitution, Dexterity and Strength scores. Your apparent age also changes (though your size category never changes), although you may disguise your age through magical or mundane means as normal. This penalty cannot reduce an ability score below 1, and you return to your normal age and lose all related penalties when you rest and recover your spell points each day. Creatures with no physical ability scores cannot take this drawback, and effects that reduce or remove penalties due to aging have no effect on the penalties bestowed by this drawback.
Dedicated Wright	General	Magic	Casting	[3PP]		Source: Baron’s Glorious Arena<br>You may only spend spell points as part of crafting a magic item using item creation feats. This counts as 2 drawbacks when determining boons and bonus spell points. You may select item creation feats as drawback feats if you possess this drawback.
Diagram Magic	General	Magic	Casting			In order to perform any magical effect, either you or your target must be entirely contained within the boundaries of a special diagram. Creating this diagram requires a full-round action for every 5-foot square contained within the diagram. Once the circle has been drawn, attempt a Spellcraft check as part of the full-round action to draw the final part of the circle against DC 15 + the maximum caster level of any effect to be performed within the circle to determine if it was done correctly. You may take 10 on this check even if in combat or stressed. You can increase the speed at which you draw the diagram but at greater risk of making a mistake. Doing so prevents you from taking 10 on the check, and for every step by which you reduce the time required to draw the diagram, increase the spellcraft DC by +5 to a maximum of +20 to draw the circle as a free action.<br>The diagram need not be drawn with any special materials, and can be done with sprinkled salt, paint, blood, a finger in sand, or anything else that may be on hand so long as it is clearly visible. Permanent portable diagrams are usually not possible (as any scuff to the diagram disrupts the magic), but a diagram may be made out of fixed, permanent material such as metal. If a diagram is disrupted (any amount of damage dealt to the surface it is carved upon, or sufficient force from water, wind, or any other effect that might disperse the material the diagram was created with) then any magic currently being maintained by concentration via the diagram immediately ends, and no further magic may be used until a new circle is drawn. Spells and effects created by magic within the diagram (including summoned creatures) never disrupt it even if they would otherwise.<br>This counts as 2 drawbacks when determining boons and bonus spell points.
Draining Casting	General	Magic	Casting			Using magic saps your lifeforce. Whenever you spend one or more spell points you are dealt 1 point of nonlethal damage which cannot be avoided by nonlethal damage immunity, reduced by damage reduction, and cannot be healed through any means except rest (a full night’s rest heals all nonlethal damage caused by this drawback at once). This nonlethal damage increases by 1 point for every 5 caster levels.
