sphere_name	talent_name	talent_category	tags	prerequisites	base_cost	description	augments
Boxing	Rope A Dope	Base Talent				Once per round, when a creature makes a melee attack against you, you may spend an immediate action to force them to make a Fortitude save at the end of their turn or be fatigued for 1 round; in addition, the creature takes a -2 penalty to this saving throw for each attack they make that round. This fatigue last for 1 additional round for each 4 points of base attack bonus you possess. If your base attack bonus is +10 or higher, that creature is instead exhausted instead of fatigued.	
Boxing	Shadowboxing	Base Talent	[utility]			You can use your total Perform (dance) bonus in place of your Acrobatics or Intimidate bonuses. Any creature which watches you make a Perform (dance) check outside of combat must make a Will save (using the result of your Perform (dance) check to determine the save DC) or be fascinated for up to 1 minute. Once a creature has been affected by this talent, they cannot be affected by it again for 1 day.	
Boxing	Shoulder Roll	Base Talent				Once per round when a creature declares a melee attack against you, you may spend an attack of opportunity to add a +1 dodge bonus to your AC against that attack. This bonus increases by +1 for every 4 points of base attack bonus you possess. If the attack misses you, you may immediately make an attack against that creature with a light weapon. If you possess the Heavy Counter talent, you may instead make this attack with a one or two-handed weapon.	
Boxing	Sucker Punch	Base Talent				Whenever you make an attack of opportunity with a weapon with which you could use to make a counter punch, once per round you may expend your martial focus to treat that attack of opportunity as though it was a counter punch. If you use this talent, you become staggered for 1 round.	
Boxing	Tight Guard	Base Talent				Whenever you ready an action, take a total defense action, or use the attack action to attack with a light weapon, you gain a +1 shield bonus to your armor class and combat maneuver defense until the start of your next turn. For every 4 points of base attack bonus you possess, this shield bonus and bonus to your combat maneuver defense increases by 1.	
Boxing	Violent Pressure	Base Talent				Whenever you ready a counter punch, you may spend a swift action to select one creature within 30 ft. of yourself; that creature must make a successful Will save or be shaken for 1 round. For every 5 points of base attack bonus you possess, the duration of this condition increase by 1 round. You may only target an individual creature once per day with this talent.	
Boxing	Clinch (counter)	Base Talent				Whenever you successfully attack with your counter punch, you may attempt to grapple that creature as a free action (even if it is not your turn) that does not provoke attacks of opportunity.	
Boxing	Disarming Jab (counter)	Base Talent	[Apoc]			Source:<br>Spheres Apocrypha: Pugilists<br>Whenever you successfully attack with your counter punch, you can make a disarm attempt against the target as a free action which does not provoke attacks of opportunity. If you successfully disarm the target, you may automatically pick up the item dropped if you have an empty hand, even if you used a weapon to disarm the target.<br>In addition, you gain the following new triggers to choose from when you ready a counter punch:<br>A hostile creature uses a consumable item (e.g. a potion, Alchemy sphere formulae, etc.)<br>A hostile creature activates a magic item (e.g. a wand, spell engine, etc.)<br>Normal:<br>When you successfully disarm your opponent without using a weapon, you may automatically pick up the item dropped.	
Boxing	Dizzying Maul (counter)	Base Talent	[Apoc]			Source:<br>Spheres Apocrypha: Pugilists<br>Whenever you successfully attack with your counter punch, you throw the target off balance. If the target attempts to move greater than half its speed during its next turn, the target must succeed at an Acrobatics check with a DC equal to your Boxing sphere DC or fall prone.<br>In addition, you gain the following new trigger to choose from when you ready a counter punch:<br>A hostile creature falls prone	
Boxing	Forceful Smash (counter)	Base Talent	[3PP]			Whenever you successfully attack with your counter punch, you can make a bull rush attempt against the target as a free action which does not provoke attacks of opportunity. You can choose to move along with the target as a free action, although this movement provokes an attack of opportunity, and you must end this movement adjacent to the creature. At base attack bonus +10, the target falls prone at the end of this movement.	
Boxing	Haymaker (counter)	Base Talent				Whenever you attack with a counter punch, you may aim for the target’s mouth or equivalent orifice impeding their ability to speak. If your attack is successful the target must succeed on a concentration check to cast any spell with a verbal or equivalent component, adding 1/4 your base attack bonus (minimum 1) to the DC of the check. This effect can be ended as a standard action by a Heal check with a DC equal to the concentration DC, or when the target receives at least 1 point of magical healing.	
Boxing	Jolt Counter (counter)	Base Talent				Whenever you attempt to attack a creature with your counter punch, you may expend your martial focus as a free action that can be taken even when it is not your turn to treat the target of your attack as being flat-footed until the end of that turn and give the creature the battered condition until the end of your next turn on a successful hit.	
Boxing	Launching Uppercut (counter)	Base Talent				Whenever you successfully attack with your counter punch, you may expend your martial focus to attempt a bull rush against the creature as a free action even while it is not your turn without provoking an attack of opportunity. A successful bull rush forces the creature an additional 5 ft. further than normal, and you may choose to force the creature to move vertically rather than horizontally (this movement does not provoke attacks of opportunity). If you choose to force the creature vertically, that creature begins to descend on the end of their current turn (creatures that can fly may attempt to do so); upon landing, they must make a successful Reflex save or fall prone, taking falling damage as appropriate (on a successful Reflex save, they take 1/2 the total amount of falling damage and do not fall prone).<br>You may use this talent on a willing ally other than yourself without expending your martial focus, dealing no damage to them and automatically hitting them. A willing ally treats their CMD as 10, adjusted for size. Willing allies can control their descent as though they could glide (until they reach the same elevation at which they started, falling as normal after that) and make an attack at any point during their descent; for every 10 ft. your ally descends before making this attack, they gain a +2 circumstance bonus to its damage roll. For every 4 points of base attack bonus you possess, you may launch a creature 10 ft. further into the air.	
Boxing	Liver Shot (counter)	Base Talent				Whenever you successfully make an attack with your counter punch, you may force the creature hit by your counter punch to make a successful Fortitude save or be sickened and have all of their movement speeds reduced by 1/2 for 1 round. For every 5 points of base attack bonus you possess, the duration of this talent is increased by 1 round.	
Boxing	Loopy Blow (counter)	Base Talent	[3PP]			Whenever you successfully attack with your counter punch, the target must make a successful Will saving throw or be treated as though under the effects of a confusion spell for 1 round. If the target is battered, they must roll twice on the confusion table, taking the higher result. At base attack bonus +10, this talent lasts for an additional round.	
Boxing	Knuckle Crusher (counter)	Base Talent	[3PP]			Whenever you successfully attack with your counter punch, all natural attacks the target possesses (including unarmed strikes) take a -2 penalty to damage rolls for 1 round. For every +4 points of base attack bonus you possess, penalty lasts for an additional round. At base attack bonus +10, this penalty increases to -5 and the target also takes a -1 penalty to attack rolls with natural attacks.	
Boxing	Terrifying Hook (counter)	Base Talent				Whenever you use your counter punch, you can make an Intimidate check to demoralize that creature as a free action, even when it isn’t your turn.	
Boxing	Winding Blow (counter)	Base Talent	[EO3]			Whenever you successfully attack with your counter punch, you may force the creature to succeed at a Fortitude save or be unable to make attacks of opportunities for 1 round, and have all the air forced from their lungs, reducing the amount of time they can hold their breath to 1 round, for a number of rounds equal to 1/2 your base attack bonus (minimum 1 round). This effect can be ended early by using the Restore Capacity function of the Life sphere.	
Boxing	Chasing Assault	Legendary Talent		Prerequisites:		Boxing sphere, counter punch ability, Launching Uppercut.<br>Whenever you launch a hostile creature into the air with your Launching Uppercut talent, you may make an Acrobatics check to jump into the air next to them as an immediate action (this movement does not provoke attacks of opportunity). If you manage to jump at least as high as the target was launched, you may make an attack of opportunity against that creature, knocking them back to the ground immediately where they suffer falling damage and are not allowed a saving throw to avoid falling prone.<br>You descend back to the ground at the end of the target’s turn, and do not suffer falling damage for the distance you jumped.	
Boxing	Cutting Comeback (counter)	Legendary Talent		Prerequisites:		Boxing sphere, counter punch ability, Diplomacy or Intimidate or Bluff 5 ranks.<br>Your comebacks are so potent they can literally cause targets pain. You may ready the demoralization action from the Intimidate skill, a shout from the Warleader sphere that affects enemies, or (if you possess Verbal Feint from the Fencing sphere) a feint, as if they were counter punches. If successful, one afflicted target of your choice within 30 ft. of you suffers twice the bonus damage from your counter punch as nonlethal damage in addition to the effects of the readied action itself. This is a language-based, mind-altering effect.	
Boxing	Intense Conditioning (counter)	Legendary Talent		Prerequisites:		Boxing sphere, counter punch ability, base attack bonus +5.<br>Whenever you land a successful counter punch, you may expend your martial focus as a free action to make the creature damaged by your counter punch make a Will save; if this save is unsuccessful, for 1 minute, whenever the creature attempts the action which triggered your counter punch, they must make a successful Will save or lose that action. This is a mind-affecting effect.	
Boxing	Reflecting Palm	Legendary Talent	[Youxia HB]	Prerequisites:		Boxing sphere (Punishing Cross), base attack bonus +10.<br>When using Punishing Cross, if the creature who struck you fails their Reflex save, they take all the damage you normally would while you take no damage from the attack.	
Boxing	Wiggling Kitten, Lunging Lion (stance)	Legendary Talent	[Catgirl HB]	Prerequisites:		Acrobatics 3 ranks, Athletics sphere ((leap) package), Boxing sphere (Gazelle Punch).<br>While in this stance, as part of readying a counterpunch, you may attempt an Acrobatics check to jump (DC 10 + distance traveled), moving in a straight line up to that distance (half distance for vertical movement). A jump made this way cannot exceed your land speed.<br>In addition, while in this stance, the effective reach granted by the Gazelle Punch talent increases an additional +5 feet + 5 feet per 5 base attack bonus you possess (up to your speed).<br>Example:<br>While in this stance, you ready a counterpunch and roll an Acrobatics check to jump. With a result of 31, you jump up to 20 feet; this jump does not count against your normal movement, and you could have moved normally before readying the counterpunch and making this jump.<br>Spheres of Might by Drop Dead Studios<br>Using Spheres of Might<br>Classes<br>Armiger<br>Blacksmith<br>Commander<br>Conscript<br>Scholar<br>Sentinel<br>Striker<br>Technician<br>Prestige Classes<br>Aeronaut Captain<br>Spheres<br>Alchemy<br>Athletics<br>Barrage<br>Barroom<br>Beastmastery<br>Berserker<br>Boxing<br>Brute<br>Dual Wielding<br>Duelist<br>Equipment<br>Fencing<br>Gladiator<br>Guardian<br>Lancer<br>Leadership<br>Open Hand<br>Scoundrel<br>Scout<br>Shield<br>Sniper<br>Tech<br>Trap<br>Warleader<br>Wrestling<br>Pilot<br>(3PP)<br>Rules<br>About Legendary Talents<br>Martial Traditions<br>Martial Packages<br>Practitioner Feats<br>Practitioner Traits<br>Practitioner FCB's<br>Practitioner Bestiary<br>Associated Feats & Skills<br>Ultimate Engineering (Tinker)<br>Starfinder Conversion<br>[3pp]<br>Get Spheres of Might on DriveThruRPG<br>Mythic Spheres of Might<br>Ultimate Engineering<br>The Conqueror's Handbook<br>The General's Handbook<br>The Highlander's Handbook<br>The Inventor's Handbook<br>The Inventor's Handbook 2<br>The Jester's Handbook<br>Woodfaring Adventures<br>The Youxia's Handbook<br>Spheres Apocrypha<br>Alch. Formulae<br>Alch. Poisons<br>Alch. Poisons 2<br>Armor Talents<br>Astrologian Archetype<br>Debilitating Talents<br>Pugilists<br>Racial<br>Ranged<br>Swashbucklers<br>Tandem<br>Tricks & Traps	
Investigation	Acute Senses	Base Talent	[utility]			You halve any DC increases to Perception checks due to distance, conditions, environment, or when made through a wall or closed door, in addition to Survival checks due to poor visibility, environment, or duration of the tracks.<br>Additionally, the range of your analyze ability increases to medium range.<br>Associated Feat:<br>Eagle-Eyed (Pathfinder Roleplaying Game: Ultimate Wilderness).	
Investigation	Auditory Analysis	Base Talent				Your hearing is so acute and specific that you can read verbal tells and minute shifts in the body to gain information. You can use Investigation sphere abilities on any creatures that you can hear, not just those that you can see.	
Investigation	Briefed Intuition	Base Talent	[plan], [utility]			You can reveal this plan as an immediate action, as you suddenly recall a piece of information that solidifies whether a hunch you have is correct or not. As part of revealing this plan, you spend 1 use of skill leverage and ask a single question that pertains to your current investigations or musings, gaining the following results.<br>Correct:<br>Your hunch is exactly spot on, such as a particular individual or organization is responsible for a crime, or a particular individual being near a particular area at a certain time of the day.<br>Incorrect:<br>Your hunch is entirely inaccurate, such as a particular individual or organization having no association with a crime, or a particular individual being nowhere near a particular area at a certain time of the day.<br>Partially Correct:<br>Your hunch is on the right track, such as a particular individual or organization participating or contributing to the crime in some way, or a particular individual having the means or motivation to be near the particular area at some point.<br>Inconclusive:<br>Your hunch is unclear, and either involves too many leaps of logic or strains credulity. You also gain this result if your plan strains credulity and you fail the check to gain the information.<br>The question must be specific in terms of the individual, organization, object, etc., that you are attempting to gain a hunch about. Once you attempt to gain a hunch this way on a specific topic, you cannot attempt to do so again until the facts of the investigation have changed significantly (up to the GM’s discretion). If you do not have any skill leverage when you reveal this plan, the plan is wasted but you may reattempt the same topic again next time you prepare your plans.	
Investigation	Broad Scrutiny	Base Talent	[utility]			Whenever you adopt the scrutinize approach, you may affect a second creature, object, or 10-foot square when adopting the approach. The type of target you scrutinize does not need to be the same, meaning you may target both a creature and an object at the same time. You may affect an additional creature, object, or 10-foot square for every 10 ranks in the associated skill you possess.	
Investigation	Gauge Deception	Base Talent	[utility]			Whenever you adopt the scrutinize approach, you pay close attention to how a creature reacts to parts of a conversation, learning how plausible an attempted lie would be before actually attempting it. Once per minute as a free action before you attempt to deceive a creature (usually before a Bluff check), you learn whether or not your attempt would receive a penalty or bonus (or neither) due to its believability, but not the value of the adjustment. After learning this, you may choose to give up on the attempt, or continue.<br>Associated Feat:<br>Sense Assumptions (Pathfinder Roleplaying Game: Ultimate Intrigue).	
Investigation	Group Analysis	Base Talent				You can use analyze as a full-round action to target 1 additional target, plus 1 target per 6 ranks in the associated skill you possess. The analyze check is rolled once, and applied to all targets. You can only apply an application to the original target of analyze, and not to the additional targets (unless they are scrutinized).	
Investigation	Rapid Assessment	Base Talent				You may adopt the scrutinize approach as a swift or immediate action, or as a free action that can be taken outside of your turn by outwitting the creature as a cost. Also, whenever you adopt the scrutinize approach, you are treated as if you had done so for 3 consecutive rounds.<br>Additionally, you can spend a free action to change an (apply) talent you have applied onto a creature for a different (apply) talent you possess.	
Investigation	Retrospection	Base Talent	[utility]			You can spend 10 minutes pondering on a single memory that has transpired within the last day, allowing you to analyze any relevant targets within the chosen memory. A single memory can span up to 1 minute per rank in the associated skill, but otherwise is only limited to what you can perceive. All targets that you analyze are treated as if they were also scrutinized; if you possess any abilities or talents that allow you to augment the scrutinize approach, you may pay any costs associated with it when pondering a memory to benefit from it.<br>You cannot retry the same check more than once, nor can you use senses or similar ability you did not possess during the memory.	
Investigation	Self Awareness	Base Talent	[utility]			As part of spending any amount of skill leverage on a Sense Motive or analyze check, you learn if the check would succeed if you roll a 10 on the d20 roll. If the action would be successful under those circumstances, you must take the action; if the action would not be successful, you can take a different action. For every 3 ranks in the associated skill you possess, you can increase or decrease the original value that you determine if the roll would succeed or not by 1 (e.g. at 6 ranks, you can choose to see if you would succeed at an 8, 9, 10, 11, or 12).	
Investigation	Share Insights	Base Talent				Whenever you grant an application to an ally, you may choose one additional ally to gain the application’s benefits, plus one additional ally for every 10 ranks in the associated skill you possess. All allies must be affected by the same application. Only the originally chosen ally can expend the application, and when it is expended, all other allies chosen with this talent lose the application’s benefits.	
Investigation	Study Inclinations	Base Talent	[plan], [utility]			You investigate an individual’s activities, morals, and other relevant information to discover useful information about them. When you interact with a creature you could have reasonably investigated, you can reveal this plan as an immediate action to learn one of the creature’s minor motivations.<br>You can spend 1 use of skill leverage when you reveal this plan to instead attempt to learn a major motivation, usually one that is easiest to learn or discover, as if you had gathered information with a result of 15 + your ranks in the associated skill. If you would not have learned a creature’s major motivation with this attempt, you instead learn a second minor motivation.	
Investigation	Ascertain Activities (analyze)	Base Talent	[utility]			Analyze Skills:<br>Perception or Sense Motive;<br>Analyze DC:<br>15 + the target’s Bluff modifier or Hit Dice (whichever is higher).<br>You analyze a creature’s entire demeanor, their clothes, and everything relevant that could be used to learn the creature’s actions made within the last 24 hours, or a specific segment of time of your choice such as an 8 hour period, or between 2pm and 2am, up to a minimum of 1 hour.<br>Simple:<br>You gain a rough approximation of the target’s actions, learning in 6-hour (or four equal) increments the type of activities the creature undertook. If an increment of time would have varying kinds of activities, you learn each of them in order of intensity or how involved the activity was.. Types of activities include: busy, calming, difficult, mundane, sedentary, stressful, etc.<br>Detailed (+5 DC):<br>As a simple analysis, but you learn the target’s actions within 4-hour (or six equal) increments, in addition to a more complex understanding of the target’s activities, such as ‘sitting in a library’, ‘working at a butcher’, ‘running in a dusty street’, etc. In general, the learned activity may not be exact, but should give you a rough idea as to the target’s actions. For example, someone who has blood on their clothes or fingers could gain the result of ‘working with dead meat’ or similar if they were involved in a murder.	
Investigation	Assess Physicality (analyze)	Base Talent				Analyze Skills:<br>Heal, Perception, or Sense Motive;<br>Analyze DC:<br>10 + the target’s Bluff, Fortitude, or Will save modifier (whichever is higher).<br>You analyze a creature’s current well-being and condition, as well as their capabilities in combat or resolve.<br>Simple:<br>You learn what conditions the target is suffering from, if they are affected by a mind-affecting effect (or multiple), and what their current emotional state is (even if hidden). You also learn one of the following statistics from the target, rounded to the nearest interval of 5: ability score modifier of one ability score, base attack bonus, caster level, save DC of one ability, or skill modifier of one skill.<br>Detailed (+5 DC):<br>As a simple analysis, but you learn the details of the conditions or mind-affecting effects the target is suffering from (such as its source or nature). Additionally, you may choose to learn two statistics from the target, but you learn their exact value. Finally, you also learn if the target is maintaining an approach, and what skill sphere the approach is from (if any).	
Investigation	Determine Defenses (analyze)	Base Talent				Analyze Skills:<br>Perception or Sense Motive;<br>Analyze DC:<br>10 + the target’s Bluff, Will save bonus, or base attack bonus, whichever is higher.<br>You analyze the target’s movements, observing their armor, stance, and other weaknesses in their fighting style. You may analyze a target more than once with this talent, as long as you choose a different piece of information each time.<br>Simple:<br>You may learn two of the following pieces of information:<br>The target’s current AC and CMD, rounded to the nearest interval of 5.<br>The existence of any energy resistances, vulnerabilities, energy immunities, spell resistance or damage reduction (but not the value).<br>Whether or not the target’s Fortitude, Reflex, or Will save bonus (your choice) is higher, lower, or the same as yours.<br>The existence of condition immunities or similar miscellaneous defenses, but not the value (such as possessing bonuses against certain conditions or effects).<br>Detailed (+5 DC):<br>As a simple analysis, but you learn two of the following improved pieces of information:<br>The target’s AC, flat-footed AC, touch AC, and CMD (and any temporary bonuses or penalties affecting them).<br>The values of all energy resistances, spell resistance, and damage reduction (and what bypasses it) the target possesses.<br>The target’s Fortitude, Reflex, and Will saving throw bonus.<br>Any condition immunities or the value of similar miscellaneous effects.	
Investigation	Discern Esoterics (analyze)	Base Talent				Analyze Skills:<br>Knowledge (arcana), Perception, or Spellcraft;<br>Analyze DC:<br>15 + the highest caster level magical effect or object the target is benefiting from.<br>You analyze how the target creature is being augmented through magic.<br>Simple:<br>You learn two pieces of information of your choice; you can choose to specify a specific object or visually apparent effect if you choose, otherwise the result is random:<br>The object’s caster level, its enhancement bonus (if any) and how it is distributed, and one of the object’s properties or functions (as if you had successfully identified it using Spellcraft). You also learn if the target has any abilities that have a limited use and how many uses it has remaining. Additionally, you discover the presence of any (hack) talents (as the Spellhacking sphere) or similar alterations to any of the magical items.<br>The existence of a magical effect and one of its effects. You also learn information as if you had successfully understood the caster’s magical technique (new skill use).<br>Each option can be chosen multiple times.<br>Detailed (+5 DC):<br>As a simple analysis, but you can either choose four options as a simple analysis, or two of the following improved options:<br>You learn all of the object’s properties and functions, and if the target is intelligent or cursed. You also learn how to activate the target, such as its command word. If the target is intelligent, you learn of its ego score, its ability scores, and if it possesses a special purpose (but not what that purpose is).<br>The magical effect’s caster level and all of its effects.<br>Addendum<br>[SM—]<br>Source:<br>Baron's Uncanny Gateway<br>When using Discern Esoterics on a portal, glyph, magic trap, or similar effect, you can learn the following. A portal with an unspecified origin should have a caster level of at least 10. Portals created by particularly powerful entities such as gods or demon lords should have caster levels between 20 and 40.<br>Simple:<br>You learn whether the target will have different effects based on different creatures or passwords passing through, including whether a portal can lead to multiple locations.<br>Detailed (+5 DC):<br>You learn the specific passwords or conditions necessary to trigger a glyph or trap or for a portal to take the traveler to different locations. You also learn each destination that a portal can potentially send those who travel through it.	
Investigation	Examine Damage (analyze)	Base Talent				Analyze Skills:<br>Heal or Perception;<br>Analyze DC:<br>15 or 10 + the target’s Bluff or Disguise modifier (if the target is alive, whichever is higher).<br>You analyze the damage and strain on a creature. When in the presence of multiple injuries, you may choose to analyze one injury in particular. If a set of injuries are similar and closely related enough, they are considered as one injury for your analysis.<br>Simple:<br>You learn the target’s hit point total, rounded up to the nearest interval of 10, in addition to the rough description of the damage dealt to cause the chosen wound, such as type, a fighter weapon group, descriptors, sphere/school of a spell, a poison, and roughly how old the wounds are. If the target is dead, you also learn the amount of time the target has been dead for in the largest unit of time, such as 3 hours, 10 minutes, 5 years, etc.<br>Detailed (+5 DC):<br>As a simple analysis, but you learn the target’s exact hit point total, and the exact type of weapon or spell used to deliver the wound or kill the target, in addition to the method involved any additional effects (such as poison or residual effects), and the effect’s rules. If the target is dead, you also learn what the target’s actions were right before they were killed, such as running, attacking, talking, etc.	
Investigation	Infer Connection (analyze)	Base Talent	[utility]			Analyze Skills:<br>Diplomacy or Sense Motive;<br>Analyze DC:<br>10 + the target’s Diplomacy, Bluff, or Will save modifier (whichever is higher).<br>You analyze the target’s attitude and association towards either a specific creature, a group of similar creatures, or an organization that they are interacting with, discerning their social standing within society.<br>Simple:<br>You learn the target’s attitude towards the creature or group, and vice versa, their rough connection to each other (friends, rivals, etc.), and if the target associates the other creature or group with a positive, neutral, or negative connotation. You also treat your check result as an appropriate Knowledge check to recall if the target has any obvious connections to a faction, organization, or patron.<br>Detailed (+5 DC):<br>As a simple analysis, but you learn their precise connection to each other and a rough assessment of an event that resulted in a significant shift in the creature’s relationship, such as being tense rivals after one of them did something illegal that affected the other negatively. You also learn of a complex emotion, power dynamic, or assumption that the target associates with the other creature or group, such as disgust, superiority, or severe desperation.	
Investigation	Inspect Object (analyze)	Base Talent	[utility]			Analyze Skills:<br>Appraise, Knowledge (engineering), or Perception;<br>Analyze DC:<br>The object’s Craft DC, 15 (for a wall or surface) or 10 + the target’s Sleight of Hand modifier (if wielded or worn).<br>You analyze an object or part of a structure to determine minute or hidden details.<br>Simple:<br>You learn the object’s current and total hit points, plus its hardness. You also learn the material(s) that make up the object, treating your check result as an appropriate Knowledge check to determine its nature. If the target is damaged or destroyed, you learn the exact type of weapon or spell used to do so (as the Examine Damage talent). You may also learn the rough thickness of a surface, learning if it is thin (3 or fewer inches), thick (4-10 inches), or very thick (11 inches or more).<br>Detailed (+5 DC):<br>As a simple analysis, and you learn of any uses the object has undergone within the last day; you may choose any amount of specific uses you learn to also learn the user's emotional state at the time of the object’s use.<br>You also compare your check result against the DC required to notice any hidden compartments, switches, or obscured parts within the object (but not a wall or surface). This includes traps or similar hazards and their triggers, plus any DCs associated with any non-magical hazards, such as the DC required to disable the hazard. You also learn the specific thickness of a surface in the largest unit.	
Investigation	Interpret Intent (analyze)	Base Talent	[utility]			Analyze Skills:<br>Sense Motive;<br>Analyze DC:<br>10 + the target’s Bluff or Will save modifier (whichever is higher).<br>You analyze a recent action taken by the target creature, gauging their intent. This could gauge anything from a detailed conversation, a disguise attempt, or an attack.<br>Simple:<br>You analyze the basic intentions from the analyzed action, learning whether the action was taken for personal benefit, to benefit another, to benefit no one, or to benefit both themselves and another; in addition to learning an emotion or need that the action was fulfilling (such as fear or survival). You also learn the target’s state of alertness, and if they are attempting to hide how aware (or otherwise) they are of something.<br>Detailed (+5 DC):<br>As a simple analysis, but you learn the further intentions from the analyzed action, revealing a motivation or complex emotion that the action was fulfilling (such as a need for justice, or fear of retribution). You also learn how they would feel if you were aware of their intent.	
