name	associated_skill	associated_weapon_groups	martial_tradition	title_veil	dao_veil	description	source	url
Primal Fury	Survival	Axes, heavy blades, and hammers	Bloody Fangs	The Mighty	Sigil of Wrath	The way of the Primal Fury is a simple method of undeniable ferocity coupled with unstoppable aggression in the face of the enemy. By focusing the cold rage within a warrior’s heart and combining that power with calculated skill and intellect, the Primal Fury practitioner is a force of remorseless warfare that is capable of truly devastating shows of force. Learned by those emulating the hunt and attack methods of great cats, such as pumas, lions, leopards, and tigers, the early practitioners of this discipline spread throughout the world, teaching it nearly everywhere. Many even regard this discipline as the oldest of all disciplines. The disciples of the Primal Fury have a few unifying principles, however, and that is firstly survival. All disciples of the Primal Fury are survivors of hardships in battle, trading blows stoically and fighting on with indomitable will to live to fight again. This drive to victory makes many of them very taciturn, but others simply shrug off the specter of death and focus more on the moment. The associated skill for the Primal Fury discipline is Survival, and its associated weapon groups are axes, heavy blades, and hammers.<br><br>Style Feats:	Path of War, pgs. 76–82	https://metzo.miraheze.org/wiki/Primal_Fury
Radiant Dawn	Diplomacy	Bows, flails, hammers, polearms, and the Sun’s Gleam ability				Brought forth by the desire to rule, and shaped on the battlefield through ages of conflict, Radiant Dawn is a discipline that is steeped in blood and akasha. In ages where conflict and war are common, those with this discipline watch over the battlefield like the sun in the sky, directing allies to seize victory, while hindering enemies powerful abilities to shift the tide of battle into their favor. In ages where conflict has been distant, Radiant Dawn has existed as an akashic meditative exercise amongst rulers and nobility. Regardless of what form it takes, practitioners of the Radiant Dawn strive to be like the sun itself: Above all.<br><br>Knowledge of Radiant Dawn maneuvers grants Essence equal to the number of maneuvers and stances known, to a maximum of the highest level Radiant Dawn maneuver or stance they know.<br><br>Maneuvers from the Radiant Dawn discipline are imbued and enhanced with akashic energies; as such, they are supernatural abilities. Radiant Dawn’s associated skill is Diplomacy, and its associated weapon groups are bows, flails, hammers, polearms, and the Sun’s Gleam ability.<br><br>Essence: Every creature has a finite amount of essence in their being, referred to as an essence pool. While essence is not typically expended when maneuvers or other akashic effects are activated, a given creature can only devote a certain amount of essence to any particular maneuver. This is done by investing the essence into the chosen receptacle, which could be a Radiant Dawn maneuver, akashic feat, or other ability. Investing essence or changing where essence is invested is a swift action.<br><br>Essence invested into a maneuver is temporarily bound when that maneuver is expended, and cannot be recovered or reassigned to another receptacle until that maneuver is recovered.<br><br>Essence Capacity: However large your Essence pool is, you can only invest a certain amount of Essence into any one Veil, feat, class feature, magic item, or other Akashic receptacle. Your character level determines this Essence capacity as shown below, though some feats, class features, magic items, or other abilities or effects may modify your base capacity:	Divergent Paths: Rajah	https://www.d20pfsrd.com/alternative-rule-systems/3rd-party-rules-systems/path-of-war/disciplines-and-maneuvers/alternative-rule-systems-path-of-war-disciplines-and-maneuvers-radiant-dawn-maneuvers/
Riven Hourglass	Autohypnosis	Flails, hammers, and light blades	Lords of the Wheel	The Memory	Riving Spike	Time exists. No one can deny this fact that time inexorably marches forward and brings all things to crumbling ruin, to death, and to dissolution. For others, time brings great things, as when things mature they grow and change, become more beautiful or potent. At the end of all things, the sand in the hourglass always falls and time passes. Some souls rejected this notion, and learned through skill with a blade to cleave the hourglass in twain and alter the passage of time to their benefit. Thus, the Riven Hourglass discipline was born. Students of this discipline believe that within each being there is an Hourglass in their soul, and within this hourglass resides the sands that flow endlessly towards the end of a creature’s time in the world. By manipulating their own Hourglass and that of others, the practitioners of this art show that through will, determination, and the use of the sands of time within all beings that battle can be won before it has even begun. Riven Hourglass disciples are capable of seeing minute flows in the endlessly flowing sands of time and are capable of making decisions in the moments when they need to be made. Riven Hourglass’ associated skill is Autohypnosis, and its associated weapon groups are flails, hammers, and light blades.<br><br>Style Feats:<br><br>Combo Feats:<br><br>Special Note: Maneuvers from this discipline are universally supernatural in nature, drawing as they do on the initiator’s connection to the timestream and the manipulation of their Hourglass. As such, they are supernatural abilities.	Path of War Expanded, pgs. 142–148	https://metzo.miraheze.org/wiki/Riven_Hourglass
Scarlet Throne	Sense Motive	Heavy blades, light blades, and spears	Scarlet Sentinels	The Duelist	Implacable Decree	The discipline of Scarlet Throne arose in the battling aristocracies of the world, where its nobles initially only practiced dueling styles that were of little use. When war came, these nobles found their abilities were sorely under-prepared for the rigors of true combat. Combining their roots in the dueling arts dueling and subsequent training by masters of practical combat and leadership, the Scarlet Throne style was born. Regal and unflinching, a practitioner of Scarlet Throne owns any field of battle he walks upon, for it is his court and there he rules, painting his chambers red with the blood of his enemies. The associated skill for this discipline is Sense Motive, and its associated weapon groups are heavy blades, light blades, and spears.<br><br>All Scarlet Throne maneuvers and stances require that the initiator not be using any kind of shield in their off-hand (including animated shields) while initiating a maneuver or while using a martial stance of this discipline. The initiator may use bucklers or rings of force shield or an effect that grants a shield bonus to his AC, just not a physical shield larger than a buckler. He must either have his off-hand empty, or be wielding a weapon two-handed to use this discipline.<br><br>Style Feats:	Path of War, pgs. 82–89	https://metzo.miraheze.org/wiki/Scarlet_Throne
Shattered Mirror	Craft (glassmaking)<br>Craft (painting)<br>Craft (sculpture)<br>Craft (sketching)	Heavy blades, light blades, and close weapons	Stained Glass Champions	The Twins	Twisted View	The strange and, in some ways, disquieting discipline known as Shattered Mirror is ancient and misunderstood. Many conflicting tales of its origins and practice exist, crediting its invention to a variety sources. Perhaps the most well-known story of its origin places blame for it at the feet of a mirror of opposition triggered by a great warrior caught in the midst of a magical conflict. The mirror’s powerful magics were pulled and warped by the flying spells and magical taint and the being it coughed forth came out wrong, unable to return to its home. Deprived of its homeland and its true and proper nature, it traveled the lands seeking power over reflections in an effort to return. The product of its failure, says the legend, is Shattered Mirror, which is still practiced to this day by those who seek power over reflections both true and deceptive. Shattered Mirror’s associated skills are Craft (glassmaking), Craft (painting), Craft (sculpture), and Craft (sketching), and its associated weapon groups as heavy blades, light blades, and close weapons. Some maneuvers from this discipline require the initiator to make a Craft check; these checks must use one of the Craft skills associated with Shattered Mirror.<br><br>Style Feats:<br><br>Combo Feats:<br><br>Special Note: Maneuvers from this discipline are universally supernatural in nature, drawing as they do on the initiator’s ability to twist reality and reflect upon both themselves and others. As such, they are supernatural abilities. Some maneuvers from this discipline require the initiator to make a Craft check; these checks must use one of the Craft skills associated with the Shattered Mirror discipline.	Path of War Expanded, pgs. 148–154	https://metzo.miraheze.org/wiki/Shattered_Mirror
Silver Crane	Perception	Bows, hammers, and spears	Empyreal Guardians	The Benevolent	Emerald Blade of the Fallen King	Disciples of the Silver Crane are men and women for whom the power of the celestial and divine flow into the arts of their blade. The Silver Crane is a goodly discipline that is inspired by the teachings of good aligned outsiders. It focuses on strong strikes designed to combat evil, celestial insights, and combat-predictions to defeat foes and enable the initiator and his allies to endure the hardships of battle against the forces of evil. Upon learning the art of Silver Crane, the disciple becomes in tune with the flows of the celestial realm, gaining heavenly insights into combat as if the angels themselves were granting insight to the warrior in battle. The Silver Crane discipline’s associated skill is Perception, and its associated weapon groups are bows, hammers, and spears.<br><br>A character may also choose to strike incorporeal foes with strikes made from this discipline as if they were made manifest, including fiends and other entities who currently possess a creature. To strike a possessing creature, the body they inhabit must be also struck, but all damage from the attack is inflicted upon the possessing fiend without harming the host.<br><br>The discipline of Silver Crane is to be considered a supernatural discipline and all abilities within are considered supernatural abilities and follow the rules and restrictions of such. All abilities in this discipline carry the [Good] descriptor.<br><br>Style Feats:<br><br>Combo Feats:<br><br>Special Note: The discipline of Silver Crane is to be considered a supernatural discipline and all abilities within are considered supernatural abilities and follow the rules and restrictions of such. All abilities in this discipline carry the [Good] descriptor.<br><br>Sacred damage comes from attacks that are heavily infused with the power of sheer Good and carry this holy power over as a form of harmful energy to evil-aligned beings. Sacred damage deals full damage to incorporeal targets, and deals damage as if the weapon were good-aligned. As it is not a weapon damage type, it automatically bypasses all damage reduction.<br><br>(Editor's Note: Previously, sacred damage dealt an extra 50% damage to evil-aligned targets. This has since been changed in errata to function as shown in the above box. Some maneuvers and feats may work differently after this change.)	Path of War, pgs. 89–95	https://metzo.miraheze.org/wiki/Silver_Crane
Sleeping Goddess	Autohypnosis	Flails, heavy blades, monk, and spears. Weapons created by Sleeping Goddess maneuvers and form mind blade (or equivalent).	Servants of the Sacred Hymn	The Resolute	Sigil of Mentalism	Though some put their trust in a well-crafted sword or a solid shield, the greatest warriors know that a tempered mind and devotion to one’s ideals are the sharpest weapon and the toughest armor. A Sleeping Goddess adept strikes his deathblow not at the heart of his foe, but at the ideals and principles the foe devotes himself to, undermining his conceptual basis of reality. Through their mastery of psionics and overpowering force of belief, disciples of this discipline assert their presence on the world, transcending the shackles of reality and making their surroundings their own. A master of the discipline becomes unto a god; he rends minds asunder as easily as bodies and shakes the foundations of others’ beliefs merely by sharing his own. Sleeping Goddess’ associated skill is Autohypnosis, and its associated weapon groups are flails, heavy blades, monk, and spears. In addition, any weapon created by the form mind blade class feature or equivalent ability (such as a deadly fist’s empowered strikes, a psychic armory’s panoply of blades, or a soulbolt’s mind bolt) or by a Sleeping Goddess maneuver is treated as a discipline weapon.<br><br>Maneuvers from the Sleeping Goddess discipline actively draw on the initiator’s psionics talents. As such, they are supernatural abilities. In addition, some Sleeping Goddess maneuvers can be augmented by spending power points, similarly to a psionic power. You can spend a maximum number of power points augmenting a maneuver equal to one plus one additional power point for every four initiator levels you possess (up to a maximum of 6 at 20th level). If you have the ability to augment your maneuvers in other ways, such as from a class feature or other ability, this cannot be combined with the augments of Sleeping Goddess maneuvers; you must choose which augmentation type to use when initiating the maneuver.<br><br>Sleeping Goddess and Power Points: The Sleeping Goddess discipline unlocks the power of the mind, allowing its adepts to tap into their psionic talent. You gain power points equal to the highest level Sleeping Goddess maneuver you know (including stances), plus one additional power point for each Sleeping Goddess maneuver known beyond the first (including stances). If you already have a power point pool, you add those points to it. If you do not have a power point pool, you gain one as well as the psionic subtype. You do not gain bonus power points for a high initiation modifier (though you do gain bonus power points for having a high key ability score if you have levels in a manifester class, as normal).<br><br>Style Feats:	Path of War Expanded, pgs. 154–164	https://metzo.miraheze.org/wiki/Sleeping_Goddess
Solar Wind	Perception	Bows, crossbows, firearms, and thrown	Acolytes of the Arrow	The Specialist	Sun's Flare	The disciples of the Solar Wind learn their arts on the windy plains where they train to deliver deadly force and precision in any environment. Throwing weapons and archery are their tools, and they rarely miss. Hallmark maneuvers include ricochet maneuvers, deadly precision strikes, supernaturally forceful maneuvers that may fire through opponents in a deadly line, showers of phantom weapons that inflict true damage, and ranged attack counters which shoot enemy missiles from the sky. Solar Wind’s associated skill is Perception and its weapon groups are bows, crossbows, firearms, and thrown.<br><br>The Elements and Solar Wind: The traditionalists of the Solar Wind discipline teach their students the fie is the natural power of the sun, and while this art was developed in sunny mesas and rolling plateaus bathed in winds, there are other environments where the discipline was adapted. From the frozen fjords and frigid taigas comes the icy Glacial Frost variant (cold). From the tropical forests of the world comes the corrosive Virulent Spray variant (acid). Finally, hailing from stormy peaks of wave-tossed islands comes the electrical variant Oncoming Storm (electrical) variant. When a character possesses the Solar Wind discipline, they can decide which variant (if any) is used, changing the standard elemental damage type associated with Solar Wind to that of the variant chosen. This choice is made when the character gains access to the discipline—other variants can be learned whenever the character gains a level in a new class that possesses the Solar Wind martial discipline or through the Variable Wind feat.<br><br>Style Feats:<br><br>Combo Feats:<br><br>Special Note: The discipline of Solar Wind has many maneuvers considered supernatural abilities, and these maneuvers follow the same rules and restrictions.	Path of War, pgs. 95–102	https://metzo.miraheze.org/wiki/Solar_Wind
Steel Serpent	Heal	Light blades, close weapons, and monk weapons	Ordre des Repas Exotiques	The Venomous	Snakebite	Practice of the Steel Serpent discipline dates back to ancient times, hailing from those whose work was only practiced in the dark of night, in hidden cabals dedicated to the art of killing. Steel Serpent disciples practice the art of the silent kill, using stealth, trickery, and poison in addition to martial combat skill and knowledge of anatomy. Masters of this discipline are marvels of deadly precision, their very touch capable of killing the strongest of men through the manipulation of their ki used as a deadly weapon. This ki manipulation causes the disciple’s very energies to become a supernatural poison in and off itself. Swiftness and deadly precision are hallmarks of this discipline, and those that use it are known for making use of more exotic weapons. Knowledge of anatomy (of both targets and the self) is also incredibly important, as well as the knowledge of ki manipulation and how to effect the energies of the body. The associated skill for this discipline is Heal, and its associated weapon groups are light blades, close weapons, and monk weapons.<br><br>The discipline of Steel Serpent has many maneuvers that would be considered supernatural abilities, and are marked as such. These abilities follow the same rules as supernatural abilities.	Path of War, pgs. 102–109	https://metzo.miraheze.org/wiki/Steel_Serpent
Tempest Gale	Sleight of Hand	Bows, crossbows, firearms, and thrown.	Cirque de la Fumée	The Sniper	Sigil of Gales	Like the whipping winds of a great storm front, the arrows, slings, bullets and thrown weapons of a Tempest Gale disciple reach out across the battlefield to find their target without error. Developed from the skills of masterful archers who used trick shots and careful aim to bring down their foes, Tempest Gale is a discipline that specializes in targeted shots that can disable or destroy any foe. Tempest Gale’s associated skill is Sleight of Hand, and its associated weapon groups are bows, crossbows, firearms, and thrown.<br><br>Style Feats:<br><br>Special Note: Some Tempest Gale maneuvers allow the disciple to make a ranged combat maneuver attempt. Treat this as a normal combat maneuver, except that it does not provoke attacks of opportunity and may be executed against any creature the disciple could attack with their weapon. If the target is at a distance greater than one range increment, the normal penalty to attack rolls is instead applied to the combat maneuver attempt, as normal. In addition, while you maintain a Tempest Gale stance, you can retrieve unattended weapons as a free action, provided the weapon is within your reach at some point during your turn (including as part of movement).	Path of War Expanded, pg. 97	https://metzo.miraheze.org/wiki/Tempest_Gale
Thrashing Dragon	Acrobatics	Close weapons, light blades, and double weapons	Crashing Tempest Academy	The Dragon	Diving Talon, Flashing Fang	The discipline known as Thrashing Dragon has a long standing tradition amongst both ascetics and daredevils alike, as its movements and style fit both the dedication and tenacity of more disciplined fighters, as well as the erratic and improvisational style of free spirited warriors. Practitioners of the style are often lithe and nimble, graceful and quick, as the style demands speed and the ability to correct one’s movements fluidly. Thrashing Dragon is a demanding style that requires both agility and athletic ability. Its disciples are primarily two-weapon fighters, skilled with weapons that are used for quick slashes and stabs. It is an acrobatic style, using the disciple’s natural speed and grace to avoid blows as opposed to blocking them with their smaller weapons. Thrashing Dragon’s associated skill is Acrobatics, and its associated weapon groups are close weapons, light blades, and double weapons.<br><br>Many Thrashing Dragon maneuvers require that its practitioner be wielding two weapons (one in each hand or one weapon and unarmed strike), wielding a double weapon, using natural weapons, or be unarmed to utilize them.	Path of War, pgs. 109–116	https://metzo.miraheze.org/wiki/Thrashing_Dragon
Unquiet Grave	Knowledge (religion)	Axes, natural, polearms				Practitioners of Unquiet Grave utilize the power of negative energy, enhancing their attacks with entropic power. Thought to have originated from ancient vampiric warlords, this necromantic discipline is used to scourge living opponents and infuse its practitioners with the powers of undeath. Though somewhat rare, Unquiet Grave remains popular amongst undead warriors, as well as assassins who specialize in living victims.<br><br>Maneuvers of the Unquiet Grave discipline are infused with negative energy and the power of undeath. As such, they are supernatural abilities. Additionally, a creature that knows 1 or more Unquiet Grave strikes may expend one of those strikes as a standard action to touch a creature that is healed by negative energy and infuse it with negative energy; the touch heals the creature for 1d8 hit points per level of the expended strike. As usual, a strike must be readied before it may be expended.<br><br>Many maneuvers of the Unquiet Grave discipline have additional, or different, effects if the creature that initiates them is undead. These effects are marked “Grave Call” in the maneuvers’ descriptions. If an Unquiet Grave maneuver is initiated by a non-undead creature that is healed by negative energy, an undead creature that is healed by positive energy, or a creature with the graveblood subtype, then they may choose whether or not to utilize its grave call each time they initiate that maneuver. Additionally, some maneuvers of the Unquiet Grave discipline grant temporary hit points. These temporary hit points stack with themselves and with temporary hit points gained through other maneuvers of this discipline, up to a maximum equal to 1/2 the initiator’s normal maximum hit points, and last for up to 1 hour.<br><br>Associated Classes: Harbingers, mystics, stalkers, and warlords may exchange access to one of their martial disciplines for access to the Unquiet Grave discipline. They gain Knowledge (religion) as a class skill if they didn’t already have it.<br><br>Associated Weapon Groups: Axes, natural, polearms. Scythes are considered discipline weapons for the Unquiet Grave discipline.<br><br>Associated Skill: Knowledge (religion).<br><br>Order of Presentation: In the maneuver lists and descriptions, the maneuvers are grouped alphabetically by level.<br><br>Initiator Level: Some maneuvers effects depend on the initiator level, which is usually the character’s level in the class that provides access to martial maneuvers. The word “level” in the maneuver lists always refers to initiator level.<br><br>Creatures and Characters: “Creatures” and “characters” are used synonymously in the maneuver descriptions.	Lords of the Night	https://www.d20pfsrd.com/alternative-rule-systems/3rd-party-rules-systems/path-of-war/disciplines-and-maneuvers/unquiet-grave-maneuvers/
Veiled Moon	Stealth	Light blades, double weapons, and spears	The Wayward Path	The Ephemeral	Feathers of the Quakiin	As the stillness of the moon reflected upon a still pond, the spiritualist discipline of Veiled Moon is seen as a strange and esoteric art, whose mysteries are difficult to grasp, and even harder to practice! The practitioners of this discipline are said to be ‘half-in, half-out’ due to the fact that they seem to be living in two worlds; in fact, this is not far from the truth. Veiled Moon disciples have grasped connections to the Astral and Ethereal planes in their mind through intense meditation and a spiritual devotion to learning the ways of spirits and the natural world, and blended them seamlessly into a martial art so supernatural that it borders on the magical. A potent, yet passive, discipline, its esoteric abilities are often misunderstood. Maneuvers include short distance astral teleportation, ethereal abilities to become incorporeal or use incorporeal touch attacks to strike foes easily, force damage strikes, and the ability to cause foes to become incorporeal themselves. The key skill for Veiled Moon is Stealth, and its associated weapon groups are light blades, double weapons, and spears.<br><br>Special Note: The discipline of Veiled Moon and all of its maneuvers and stances are considered to be supernatural abilities and thus do not function in situations where supernatural abilities will fail. If the character is on an a plane that does not touch the Ethereal, then Veiled Moon maneuvers that specify that they use the Ethereal Plane do not function; all others function normally due to all planes connecting to the Astral Plane. Teleportation maneuvers require that the destination must be within line of sight to the initiator, and are usable with the Dimensional Agility line of feats. Also, maneuvers with the [Teleportation] tag only apply to the initiator himself, his gear and equipment, and up to 25 pounds of carried objects. Lastly, maneuvers with the [Mind-affecting] tag are considered enchantment effects for the purposes of saving throws and immunities.	Path of War, pgs. 116–123	https://metzo.miraheze.org/wiki/Veiled_Moon
